state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
AR,Lonoke (County),38,94,4,27.9,69.1,2.9
AR,Madison (County),29,78,3,26.4,70.9,2.7
AR,Miller (County),10,21,2,30.3,63.6,6.1
AR,Mississippi (County),32,141,7,17.8,78.3,3.9
AR,Monroe (County),146,238,16,36.5,59.5,4
AR,Montgomery (County),7,24,1,21.9,75,3.1
AR,Nevada (County),,7,,,100,
AR,Newton (County),,1,,,100,
AR,Ouachita (County),,24,,,100,
AR,Perry (County),112,119,7,47.1,50,2.9
AR,Phillips (County),169,947,46,14.5,81.5,4
AR,Pike (County),,3,,,100,
AR,Poinsett (County),56,58,4,47.5,49.2,3.4
AR,Polk (County),,9,,,100,
AR,Pope (County),3,40,,7,93,
AR,Prairie (County),154,220,12,39.9,57,3.1
AR,Pulaski (County),420,2010,52,16.9,81,2.1
AR,Randolph (County),266,352,15,42,55.6,2.4
AR,Saline (County),58,299,6,16,82.4,1.7
AR,Scott (County),,2,,,100,
AR,Searcy (County),,1,,,100,
AR,Sebastian (County),157,405,10,27.4,70.8,1.7
AR,Sevier (County),11,63,4,14.1,80.8,5.1
AR,Sharp (County),,3,,,100,
AR,St. Francis (County),40,145,11,20.4,74,5.6
AR,Stone (County),,3,,,100,
AR,Union (County),,39,,,100,
AR,Van Buren (County),,3,,,100,
AR,Washington (County),320,1038,23,23.2,75.2,1.7
AR,White (County),115,362,15,23.4,73.6,3
AR,Woodruff (County),47,130,8,25.4,70.3,4.3
AR,Yell (County),13,67,7,14.9,77,8
AZ,Apache (County),,32,,,100,
AZ,Cochise (County),,19,,,100,
AZ,Coconino (County),,52,,,100,
AZ,Gila (County),,18,,,100,
AZ,Graham (County),,15,,,100,
AZ,La Paz (County),,5,,,100,
AZ,Maricopa (County),,2097,,,100,
AZ,Mohave (County),,107,,,100,
AZ,Navajo (County),,41,,,100,
AZ,Pima (County),,471,,,100,
AZ,Pinal (County),,87,,,100,
AZ,Santa Cruz (County),,8,,,100,
AZ,Yavapai (County),,63,,,100,
AZ,Yuma (County),,175,,,100,
CA,Alameda (County),,385,,,100,
CA,Amador (County),,9,,,100,
CA,Butte (County),5599,20290,489,21.2,76.9,1.9
CA,Calaveras (County),158,971,17,13.8,84.7,1.5
CA,Colusa (County),,1,,,100,
CA,Contra Costa (County),,207,,,100,
CA,Del Norte (County),,3,,,100,
CA,El Dorado (County),,20,,,100,
CA,Fresno (County),48,1447,145,2.9,88.2,8.8
CA,Glenn (County),,3,,,100,
CA,Humboldt (County),,4,,,100,
CA,Imperial (County),,190,,,100,
CA,Inyo (County),,2,,,100,
CA,Kern (County),,396,,,100,
CA,Kings (County),,110,,,100,
CA,Lake (County),396,4335,115,8.2,89.5,2.4
CA,Lassen (County),1,61,12,1.4,82.4,16.2
CA,Los Angeles (County),548,14449,515,3.5,93.1,3.3
CA,Madera (County),2,209,33,0.8,85.7,13.5
CA,Marin (County),,33,,,100,
CA,Mariposa (County),,1,,,100,
CA,Mendocino (County),98,984,41,8.7,87.6,3.7
CA,Merced (County),,82,,,100,
CA,Modoc (County),,2,,,100,
CA,Monterey (County),46,996,92,4.1,87.8,8.1
CA,Napa (County),800,10541,321,6.9,90.4,2.8
CA,Nevada (County),12,192,,5.9,94.1,
CA,Orange (County),1,3882,,0,100,
CA,Placer (County),,91,,,100,
CA,Riverside (County),,1543,,,100,
CA,Sacramento (County),,433,,,100,
CA,San Benito (County),,16,,,100,
CA,San Bernardino (County),7,2491,118,0.3,95.2,4.5
CA,San Diego (County),33,2175,193,1.4,90.6,8
CA,San Francisco (County),,151,,,100,
CA,San Joaquin (County),,363,,,100,
CA,San Luis Obispo (County),,43,,,100,
CA,San Mateo (County),36,1743,188,1.8,88.6,9.6
CA,Santa Barbara (County),261,1393,20,15.6,83.2,1.2
CA,Santa Clara (County),14,2206,245,0.6,89.5,9.9
CA,Santa Cruz (County),618,5303,268,10,85.7,4.3
CA,Shasta (County),314,3032,60,9.2,89,1.8
CA,Siskiyou (County),83,190,40,26.5,60.7,12.8
CA,Solano (County),189,2788,100,6.1,90.6,3.2
CA,Sonoma (County),595,18533,261,3.1,95.6,1.3
CA,Stanislaus (County),,400,10,,97.6,2.4
CA,Sutter (County),,12,,,100,
CA,Tehama (County),,10,,,100,
CA,Trinity (County),13,97,17,10.2,76.4,13.4
CA,Tulare (County),3,487,28,0.6,94,5.4
CA,Tuolumne (County),,5,,,100,
CA,Ventura (County),250,2204,9,10.2,89.5,0.4
CA,Yolo (County),23,401,44,4.9,85.7,9.4
CA,Yuba (County),37,526,6,6.5,92.4,1.1
CO,Adams (County),114,1015,10,10,89.1,0.9
CO,Alamosa (County),,5,,,100,
CO,Arapahoe (County),335,2481,19,11.8,87.5,0.7
CO,Archuleta (County),,2,,,100,
CO,Baca (County),,2,,,100,
CO,Boulder (County),2971,12448,152,19.1,79.9,1
CO,Broomfield (County),,9,,,100,
CO,Chaffee (County),,2,,,100,
CO,Clear Creek (County),27,151,2,15,83.9,1.1
CO,Conejos (County),,1,,,100,
CO,Crowley (County),,1,,,100,
CO,Custer (County),,1,,,100,
CO,Delta (County),,11,,,100,
CO,Denver (County),,151,,,100,
CO,Douglas (County),,52,,,100,
CO,Eagle (County),,3,,,100,
CO,El Paso (County),188,1362,17,12,86.9,1.1
CO,Elbert (County),,1,,,100,
CO,Fremont (County),6,98,1,5.7,93.3,1
CO,Garfield (County),,6,,,100,
CO,Grand (County),,1,,,100,
CO,Gunnison (County),,1,,,100,
CO,Huerfano (County),,3,,,100,
