state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
IA,Mitchell (County),,8,,,100,
IA,Monona (County),38,104,6,25.7,70.3,4.1
IA,Monroe (County),18,72,1,19.8,79.1,1.1
IA,Montgomery (County),,5,,,100,
IA,Muscatine (County),8,44,1,15.1,83,1.9
IA,O'Brien (County),36,318,,10.2,89.8,
IA,Osceola (County),9,66,,12,88,
IA,Page (County),,7,,,100,
IA,Palo Alto (County),,5,,,100,
IA,Plymouth (County),,18,,,100,
IA,Pocahontas (County),,8,,,100,
IA,Polk (County),909,5218,96,14.6,83.9,1.5
IA,Pottawattamie (County),270,829,11,24.3,74.7,1
IA,Poweshiek (County),13,188,5,6.3,91.3,2.4
IA,Ringgold (County),23,113,2,16.7,81.9,1.4
IA,Sac (County),,4,,,100,
IA,Scott (County),230,1710,51,11.6,85.9,2.6
IA,Shelby (County),7,126,4,5.1,92,2.9
IA,Sioux (County),11,174,1,5.9,93.5,0.5
IA,Story (County),246,1382,12,15,84.3,0.7
IA,Tama (County),22,428,8,4.8,93.4,1.7
IA,Taylor (County),6,36,1,14,83.7,2.3
IA,Union (County),12,91,1,11.5,87.5,1
IA,Van Buren (County),,1,,,100,
IA,Wapello (County),84,423,7,16.3,82.3,1.4
IA,Warren (County),31,193,2,13.7,85.4,0.9
IA,Washington (County),,7,,,100,
IA,Wayne (County),,4,,,100,
IA,Webster (County),51,525,8,8.7,89.9,1.4
IA,Winnebago (County),,3,,,100,
IA,Winneshiek (County),,9,,,100,
IA,Woodbury (County),76,536,5,12.3,86.9,0.8
IA,Worth (County),,1,,,100,
IA,Wright (County),76,564,4,11.8,87.6,0.6
ID,Ada (County),,101,,,100,
ID,Adams (County),,1,,,100,
ID,Bannock (County),,24,,,100,
ID,Benewah (County),,2,,,100,
ID,Bingham (County),,10,,,100,
ID,Blaine (County),,1,,,100,
ID,Boise (County),,1,,,100,
ID,Bonner (County),,3,,,100,
ID,Bonneville (County),,56,,,100,
ID,Boundary (County),,2,,,100,
ID,Canyon (County),,39,,,100,
ID,Caribou (County),,1,,,100,
ID,Cassia (County),,1,,,100,
ID,Clearwater (County),,2,,,100,
ID,Elmore (County),,1,,,100,
ID,Franklin (County),,3,,,100,
ID,Gem (County),,3,,,100,
ID,Idaho (County),,2,,,100,
ID,Jefferson (County),,1,,,100,
ID,Kootenai (County),,21,,,100,
ID,Latah (County),,2,,,100,
ID,Lincoln (County),,1,,,100,
ID,Madison (County),,6,,,100,
ID,Minidoka (County),,4,,,100,
ID,Nez Perce (County),,5,,,100,
ID,Oneida (County),,2,,,100,
ID,Owyhee (County),,1,,,100,
ID,Payette (County),,4,,,100,
ID,Power (County),,3,,,100,
ID,Shoshone (County),,3,,,100,
ID,Twin Falls (County),,34,,,100,
IL,Adams (County),,87,,,100,
IL,Alexander (County),427,773,25,34.9,63.1,2
IL,Bond (County),,2,,,100,
IL,Boone (County),,13,,,100,
IL,Brown (County),1,11,,8.3,91.7,
IL,Bureau (County),49,373,3,11.5,87.8,0.7
IL,Calhoun (County),11,33,2,23.9,71.7,4.3
IL,Carroll (County),68,123,,35.6,64.4,
IL,Cass (County),,4,,,100,
IL,Champaign (County),14,291,1,4.6,95.1,0.3
IL,Christian (County),,22,,,100,
IL,Clark (County),7,13,,35,65,
IL,Clay (County),,6,,,100,
IL,Clinton (County),,11,,,100,
IL,Coles (County),,27,,,100,
IL,Cook (County),47011,171191,1482,21.4,77.9,0.7
IL,Crawford (County),16,34,1,31.4,66.7,2
IL,Cumberland (County),,5,,,100,
IL,De Witt (County),,2,,,100,
IL,DeKalb (County),16,161,,9,91,
IL,Douglas (County),13,99,1,11.5,87.6,0.9
IL,DuPage (County),1643,7447,45,18,81.5,0.5
IL,Edgar (County),,8,,,100,
IL,Edwards (County),,1,,,100,
IL,Effingham (County),,22,,,100,
IL,Fayette (County),3,26,,10.3,89.7,
IL,Ford (County),,2,,,100,
IL,Franklin (County),32,87,1,26.7,72.5,0.8
IL,Fulton (County),46,258,6,14.8,83.2,1.9
IL,Gallatin (County),140,93,7,58.3,38.8,2.9
IL,Greene (County),,2,,,100,
IL,Grundy (County),94,305,3,23.4,75.9,0.7
IL,Hamilton (County),,6,,,100,
IL,Hancock (County),,7,,,100,
IL,Hardin (County),19,20,,48.7,51.3,
IL,Henderson (County),15,19,,44.1,55.9,
IL,Henry (County),19,129,1,12.8,86.6,0.7
IL,Iroquois (County),,9,,,100,
IL,Jackson (County),98,209,7,31.2,66.6,2.2
IL,Jasper (County),2,12,,14.3,85.7,
IL,Jefferson (County),,54,,,100,
IL,Jersey (County),,13,,,100,
IL,Jo Daviess (County),22,150,,12.8,87.2,
IL,Johnson (County),,4,,,100,
IL,Kane (County),137,1042,15,11.5,87.3,1.3
IL,Kankakee (County),,79,,,100,
IL,Kendall (County),44,433,3,9.2,90.2,0.6
IL,Knox (County),74,489,12,12.9,85,2.1
IL,La Salle (County),263,631,16,28.9,69.3,1.8
IL,Lake (County),394,1832,17,17.6,81.7,0.8
IL,Lawrence (County),8,10,,44.4,55.6,
IL,Lee (County),,21,,,100,
IL,Livingston (County),13,70,,15.7,84.3,
IL,Logan (County),,5,,,100,
IL,Macon (County),,50,,,100,
IL,Macoupin (County),,11,,,100,
IL,Madison (County),,139,,,100,
IL,Marion (County),,42,,,100,
IL,Marshall (County),15,53,1,21.7,76.8,1.4
IL,Mason (County),17,51,,25,75,
IL,Massac (County),236,360,12,38.8,59.2,2
IL,McDonough (County),55,499,8,9.8,88.8,1.4
IL,McHenry (County),40,301,3,11.6,87.5,0.9
IL,McLean (County),,85,,,100,
IL,Menard (County),,1,,,100,
IL,Mercer (County),,6,,,100,
IL,Monroe (County),,16,,,100,
IL,Montgomery (County),,16,,,100,
IL,Morgan (County),,16,,,100,
IL,Moultrie (County),,3,,,100,
IL,Ogle (County),23,90,,20.4,79.6,
IL,Peoria (County),337,1810,30,15.5,83.1,1.4
IL,Perry (County),11,106,1,9.3,89.8,0.8
IL,Piatt (County),,3,,,100,
IL,Pike (County),3,18,,14.3,85.7,
IL,Pope (County),21,35,1,36.8,61.4,1.8
IL,Pulaski (County),144,344,21,28.3,67.6,4.1
IL,Putnam (County),6,52,3,9.8,85.2,4.9
IL,Randolph (County),8,51,,13.6,86.4,
IL,Richland (County),,9,,,100,
IL,Rock Island (County),72,344,9,16.9,80.9,2.1
IL,Saline (County),28,49,1,35.9,62.8,1.3
IL,Sangamon (County),,142,,,100,
IL,Schuyler (County),3,26,1,10,86.7,3.3
IL,Scott (County),,2,,,100,
IL,Shelby (County),,7,,,100,
IL,St. Clair (County),,176,,,100,
IL,Stark (County),19,213,5,8,89.9,2.1
IL,Stephenson (County),529,1225,16,29.9,69.2,0.9
IL,Tazewell (County),178,1528,6,10.4,89.3,0.4
IL,Union (County),,4,,,100,
IL,Vermilion (County),9,89,2,9,89,2
IL,Wabash (County),9,18,,33.3,66.7,
IL,Warren (County),5,59,1,7.7,90.8,1.5
IL,Washington (County),2,34,,5.6,94.4,
IL,Wayne (County),3,16,2,14.3,76.2,9.5
IL,White (County),59,168,1,25.9,73.7,0.4
IL,Whiteside (County),2,81,,2.4,97.6,
IL,Will (County),359,2487,21,12.5,86.7,0.7
IL,Williamson (County),90,251,4,26.1,72.8,1.2
IL,Winnebago (County),80,496,5,13.8,85.4,0.9
IL,Woodford (County),75,271,3,21.5,77.7,0.9
IN,Adams (County),,9,,,100,
IN,Allen (County),,261,,,100,
IN,Bartholomew (County),,44,,,100,
IN,Benton (County),,2,,,100,
IN,Blackford (County),,3,,,100,
IN,Boone (County),,25,,,100,
IN,Brown (County),,4,,,100,
IN,Carroll (County),26,64,1,28.6,70.3,1.1
IN,Cass (County),,13,,,100,
IN,Clark (County),153,1104,14,12,86.9,1.1
IN,Clay (County),,1,,,100,
IN,Clinton (County),,14,,,100,
IN,Crawford (County),,1,,,100,
IN,Daviess (County),,13,,,100,
IN,Dearborn (County),9,45,1,16.4,81.8,1.8
IN,Decatur (County),,16,,,100,
IN,DeKalb (County),,12,,,100,
IN,Delaware (County),,70,,,100,
IN,Dubois (County),,31,,,100,
IN,Elkhart (County),121,608,15,16.3,81.7,2
IN,Fayette (County),,3,,,100,
IN,Floyd (County),19,123,5,12.9,83.7,3.4
IN,Fulton (County),1,17,2,5,85,10
IN,Gibson (County),,10,,,100,
IN,Grant (County),,29,,,100,
IN,Greene (County),,16,,,100,
IN,Hamilton (County),,82,,,100,
IN,Hancock (County),,15,,,100,
IN,Harrison (County),18,62,,22.5,77.5,
IN,Hendricks (County),,70,,,100,
IN,Henry (County),,14,,,100,
IN,Howard (County),,58,,,100,
IN,Huntington (County),,3,,,100,
IN,Jackson (County),,26,,,100,
IN,Jasper (County),4,16,,20,80,
IN,Jay (County),,5,,,100,
IN,Jefferson (County),14,133,5,9.2,87.5,3.3
IN,Jennings (County),,2,,,100,
IN,Johnson (County),,41,,,100,
IN,Knox (County),,37,,,100,
IN,Kosciusko (County),,25,,,100,
IN,LaGrange (County),,8,,,100,
IN,Lake (County),72,1044,20,6.3,91.9,1.8
IN,LaPorte (County),2,93,,2.1,97.9,
IN,Lawrence (County),,11,,,100,
IN,Madison (County),,79,,,100,
IN,Marion (County),,585,,,100,
IN,Marshall (County),30,148,4,16.5,81.3,2.2
IN,Miami (County),,9,,,100,
IN,Monroe (County),,52,,,100,
IN,Montgomery (County),,6,,,100,
IN,Morgan (County),,26,,,100,
IN,Newton (County),,4,,,100,
IN,Noble (County),,6,,,100,
IN,Ohio (County),,4,,,100,
IN,Orange (County),,3,,,100,
IN,Owen (County),,5,,,100,
IN,Parke (County),,1,,,100,
IN,Perry (County),,8,,,100,
IN,Pike (County),,2,,,100,
IN,Porter (County),3,84,,3.4,96.6,
IN,Posey (County),,5,,,100,
IN,Pulaski (County),4,17,,19,81,
IN,Putnam (County),,7,,,100,
IN,Randolph (County),,7,,,100,
IN,Ripley (County),12,107,2,9.9,88.4,1.7
IN,Rush (County),,1,,,100,
IN,Scott (County),5,31,,13.9,86.1,
IN,Shelby (County),,18,,,100,
IN,Spencer (County),4,8,1,30.8,61.5,7.7
IN,St. Joseph (County),57,559,4,9.2,90.2,0.6
IN,Starke (County),4,25,1,13.3,83.3,3.3
IN,Steuben (County),,3,,,100,
IN,Sullivan (County),,4,,,100,
IN,Switzerland (County),7,15,,31.8,68.2,
IN,Tippecanoe (County),,91,,,100,
IN,Tipton (County),,4,,,100,
IN,Union (County),,1,,,100,
IN,Vanderburgh (County),15,195,,7.1,92.9,
IN,Vermillion (County),,4,,,100,
IN,Vigo (County),,78,,,100,
IN,Wabash (County),,13,,,100,
IN,Warren (County),,3,,,100,
IN,Warrick (County),,110,,,100,
IN,Washington (County),32,254,4,11,87.6,1.4
IN,Wayne (County),,54,,,100,
IN,Wells (County),,9,,,100,
IN,White (County),5,10,,33.3,66.7,
IN,Whitley (County),,4,,,100,
KS,Allen (County),,2,,,100,
KS,Anderson (County),,3,,,100,
KS,Atchison (County),,1,,,100,
KS,Barber (County),,2,,,100,
KS,Barton (County),,7,,,100,
KS,Bourbon (County),,4,,,100,
KS,Brown (County),,9,,,100,
KS,Butler (County),,16,,,100,
KS,Chase (County),,1,,,100,
KS,Cherokee (County),,2,,,100,
KS,Cheyenne (County),,2,,,100,
KS,Clark (County),,2,,,100,
KS,Clay (County),,8,,,100,
KS,Cloud (County),,3,,,100,
KS,Comanche (County),,1,,,100,
KS,Cowley (County),,14,,,100,
KS,Crawford (County),,21,,,100,
KS,Decatur (County),,1,,,100,
KS,Dickinson (County),,13,,,100,
KS,Doniphan (County),,2,,,100,
KS,Douglas (County),,27,,,100,
KS,Edwards (County),,2,,,100,
KS,Ellis (County),,51,,,100,
KS,Ellsworth (County),,6,,,100,
KS,Finney (County),,42,,,100,
KS,Ford (County),,17,,,100,
KS,Franklin (County),,7,,,100,
KS,Geary (County),,8,,,100,
KS,Gove (County),,6,,,100,
KS,Graham (County),,1,,,100,
KS,Grant (County),,5,,,100,
KS,Greeley (County),,1,,,100,
KS,Greenwood (County),,3,,,100,
KS,Harper (County),,4,,,100,
KS,Harvey (County),,21,,,100,
KS,Haskell (County),,4,,,100,
KS,Jackson (County),,3,,,100,
KS,Jefferson (County),,7,,,100,
KS,Jewell (County),,1,,,100,
KS,Johnson (County),,265,,,100,
KS,Kearny (County),,4,,,100,
KS,Kingman (County),,4,,,100,
KS,Kiowa (County),,2,,,100,
KS,Labette (County),,14,,,100,
KS,Leavenworth (County),,10,,,100,
KS,Logan (County),,3,,,100,
KS,Lyon (County),,23,,,100,
KS,Marion (County),,1,,,100,
KS,Marshall (County),,16,,,100,
KS,McPherson (County),,13,,,100,
KS,Meade (County),,1,,,100,
KS,Miami (County),,4,,,100,
KS,Mitchell (County),,5,,,100,
KS,Montgomery (County),,7,,,100,
KS,Morris (County),,2,,,100,
KS,Nemaha (County),,6,,,100,
KS,Neosho (County),,2,,,100,
KS,Ness (County),,5,,,100,
KS,Norton (County),,7,,,100,
KS,Osage (County),,2,,,100,
KS,Osborne (County),,4,,,100,
KS,Ottawa (County),,3,,,100,
KS,Pawnee (County),,1,,,100,
KS,Phillips (County),,6,,,100,
KS,Pottawatomie (County),,5,,,100,
KS,Pratt (County),,7,,,100,
KS,Reno (County),,37,,,100,
KS,Republic (County),,2,,,100,
KS,Rice (County),,1,,,100,
KS,Riley (County),,10,,,100,
KS,Rooks (County),,1,,,100,
KS,Rush (County),,1,,,100,
KS,Russell (County),,5,,,100,
KS,Saline (County),,48,,,100,
KS,Scott (County),,4,,,100,
KS,Sedgwick (County),,353,,,100,
KS,Seward (County),,11,,,100,
KS,Shawnee (County),,104,,,100,
KS,Sheridan (County),,3,,,100,
KS,Sherman (County),,1,,,100,
KS,Smith (County),,2,,,100,
KS,Stafford (County),,2,,,100,
KS,Stanton (County),,1,,,100,
KS,Sumner (County),,10,,,100,
KS,Thomas (County),,4,,,100,
KS,Washington (County),,5,,,100,
KS,Wichita (County),,1,,,100,
KS,Wyandotte (County),,165,,,100,
KY,Adair (County),19,200,4,8.5,89.7,1.8
KY,Allen (County),4,37,,9.8,90.2,
KY,Anderson (County),13,26,1,32.5,65,2.5
KY,Ballard (County),33,25,,56.9,43.1,
KY,Barren (County),11,156,,6.6,93.4,
KY,Bath (County),93,183,5,33.1,65.1,1.8
KY,Bell (County),136,328,4,29.1,70.1,0.9
KY,Boone (County),,34,,,100,
KY,Bourbon (County),69,139,7,32.1,64.7,3.3
KY,Boyd (County),59,372,10,13.4,84.4,2.3
KY,Boyle (County),30,146,,17,83,
KY,Breathitt (County),270,404,121,34,50.8,15.2
KY,Bullitt (County),,8,,,100,
KY,Butler (County),4,10,,28.6,71.4,
KY,Caldwell (County),,8,,,100,
KY,Calloway (County),,16,,,100,
KY,Campbell (County),1,91,,1.1,98.9,
KY,Carlisle (County),4,20,1,16,80,4
KY,Carroll (County),5,22,,18.5,81.5,
KY,Carter (County),397,1005,64,27.1,68.6,4.4
KY,Casey (County),54,150,2,26.2,72.8,1
KY,Christian (County),1,37,,2.6,97.4,
KY,Clark (County),47,129,3,26.3,72.1,1.7
KY,Clay (County),43,179,44,16.2,67.3,16.5
KY,Clinton (County),15,52,4,21.1,73.2,5.6
KY,Crittenden (County),17,23,,42.5,57.5,
KY,Cumberland (County),7,69,1,9.1,89.6,1.3
KY,Daviess (County),11,132,,7.7,92.3,
KY,Edmonson (County),1,19,,5,95,
KY,Elliott (County),14,70,13,14.4,72.2,13.4
KY,Estill (County),104,254,31,26.7,65.3,8
KY,Fayette (County),48,468,4,9.2,90,0.8
KY,Fleming (County),20,60,3,24.1,72.3,3.6
KY,Floyd (County),73,274,79,17.1,64.3,18.5
KY,Franklin (County),61,235,5,20.3,78.1,1.7
KY,Fulton (County),3,40,2,6.7,88.9,4.4
KY,Gallatin (County),,2,,,100,
KY,Garrard (County),26,69,,27.4,72.6,
KY,Grant (County),22,143,1,13.3,86.1,0.6
KY,Graves (County),3,41,1,6.7,91.1,2.2
KY,Grayson (County),4,28,,12.5,87.5,
KY,Green (County),12,64,,15.8,84.2,
KY,Greenup (County),83,232,19,24.9,69.5,5.7
KY,Hancock (County),,1,,,100,
KY,Hardin (County),49,162,4,22.8,75.3,1.9
KY,Harlan (County),,20,,,100,
KY,Harrison (County),,9,,,100,
KY,Hart (County),5,55,4,7.8,85.9,6.2
KY,Henderson (County),66,102,2,38.8,60,1.2
KY,Henry (County),4,3,,57.1,42.9,
KY,Hickman (County),5,5,1,45.5,45.5,9.1
KY,Hopkins (County),14,85,,14.1,85.9,
KY,Jackson (County),14,32,10,25,57.1,17.9
KY,Jefferson (County),499,2424,36,16.9,81.9,1.2
KY,Jessamine (County),65,129,5,32.7,64.8,2.5
KY,Johnson (County),327,964,77,23.9,70.5,5.6
KY,Kenton (County),36,195,,15.6,84.4,
KY,Knott (County),5,31,8,11.4,70.5,18.2
KY,Knox (County),58,123,13,29.9,63.4,6.7
KY,Larue (County),9,50,,15.3,84.7,
KY,Laurel (County),60,211,6,21.7,76.2,2.2
KY,Lawrence (County),116,802,33,12.2,84.3,3.5
KY,Lee (County),33,104,14,21.9,68.9,9.3
KY,Leslie (County),92,220,41,26.1,62.3,11.6
KY,Letcher (County),3,22,7,9.4,68.8,21.9
KY,Lewis (County),113,387,14,22,75.3,2.7
KY,Lincoln (County),80,198,4,28.4,70.2,1.4
KY,Livingston (County),61,104,2,36.5,62.3,1.2
KY,Logan (County),29,70,1,29,70,1
KY,Lyon (County),,2,,,100,
KY,Madison (County),146,594,9,19.5,79.3,1.2
KY,Magoffin (County),195,651,83,21,70.1,8.9
KY,Marion (County),27,80,3,24.5,72.7,2.7
KY,Marshall (County),30,68,5,29.1,66,4.9
KY,Martin (County),132,399,79,21.6,65.4,13
KY,Mason (County),9,47,,16.1,83.9,
KY,McCracken (County),202,308,8,39,59.5,1.5
KY,McCreary (County),,1,,,100,
KY,McLean (County),29,68,4,28.7,67.3,4
KY,Meade (County),,1,,,100,
KY,Menifee (County),51,282,4,15.1,83.7,1.2
KY,Mercer (County),43,82,,34.4,65.6,
KY,Metcalfe (County),15,77,3,15.8,81.1,3.2
KY,Monroe (County),12,63,,16,84,
KY,Montgomery (County),37,167,4,17.8,80.3,1.9
KY,Morgan (County),183,1030,26,14.8,83.1,2.1
KY,Muhlenberg (County),,10,,,100,
KY,Nelson (County),13,57,,18.6,81.4,
KY,Nicholas (County),10,14,1,40,56,4
KY,Ohio (County),13,84,3,13,84,3
KY,Oldham (County),,12,,,100,
KY,Owen (County),5,8,,38.5,61.5,
KY,Owsley (County),8,18,19,17.8,40,42.2
KY,Pendleton (County),14,146,1,8.7,90.7,0.6
KY,Perry (County),64,224,36,19.8,69.1,11.1
KY,Pike (County),622,1234,36,32.9,65.2,1.9
KY,Powell (County),52,100,13,31.5,60.6,7.9
KY,Pulaski (County),73,289,5,19.9,78.7,1.4
KY,Robertson (County),,1,,,100,
KY,Rockcastle (County),41,152,10,20.2,74.9,4.9
KY,Rowan (County),347,649,17,34.3,64.1,1.7
KY,Russell (County),10,73,1,11.9,86.9,1.2
KY,Scott (County),14,76,12,13.7,74.5,11.8
KY,Shelby (County),,12,,,100,
KY,Simpson (County),14,50,,21.9,78.1,
KY,Spencer (County),,2,,,100,
KY,Taylor (County),11,140,,7.3,92.7,
KY,Todd (County),,3,,,100,
KY,Trigg (County),,2,,,100,
KY,Trimble (County),29,76,2,27.1,71,1.9
KY,Union (County),19,46,4,27.5,66.7,5.8
KY,Warren (County),67,449,9,12.8,85.5,1.7
KY,Washington (County),16,33,2,31.4,64.7,3.9
KY,Wayne (County),12,63,,16,84,
KY,Webster (County),19,31,,38,62,
KY,Whitley (County),,40,,,100,
KY,Wolfe (County),46,726,42,5.7,89.2,5.2
KY,Woodford (County),46,89,2,33.6,65,1.5
LA,Acadia (Parish),1814,8096,783,17,75.7,7.3
LA,Allen (Parish),1057,5346,494,15.3,77.5,7.2
LA,Ascension (Parish),5488,9535,523,35.3,61.3,3.4
LA,Assumption (Parish),231,732,87,22,69.7,8.3
LA,Avoyelles (Parish),103,757,60,11.2,82.3,6.5
LA,Beauregard (Parish),2199,9631,616,17.7,77.4,4.9
LA,Bienville (Parish),77,348,58,15.9,72,12
LA,Bossier (Parish),435,1592,73,20.7,75.8,3.5
LA,Caddo (Parish),2287,8460,549,20.2,74.9,4.9
LA,Calcasieu (Parish),26626,90486,4237,21.9,74.6,3.5
LA,Caldwell (Parish),175,406,39,28.2,65.5,6.3
LA,Cameron (Parish),1036,3497,408,21,70.8,8.3
LA,Catahoula (Parish),51,200,30,18.1,71.2,10.7
LA,Claiborne (Parish),74,364,44,15.4,75.5,9.1
LA,Concordia (Parish),40,181,23,16.4,74.2,9.4
LA,De Soto (Parish),272,600,129,27.2,59.9,12.9
LA,East Baton Rouge (Parish),24577,44225,1155,35.1,63.2,1.7
LA,East Carroll (Parish),63,404,42,12.4,79.4,8.3
LA,East Feliciana (Parish),374,1115,153,22.8,67.9,9.3
LA,Evangeline (Parish),217,1050,56,16.4,79.4,4.2
LA,Franklin (Parish),24,225,29,8.6,80.9,10.4
LA,Grant (Parish),528,3163,257,13.4,80.1,6.5
LA,Iberia (Parish),910,4079,398,16.9,75.7,7.4
LA,Iberville (Parish),423,1789,340,16.6,70.1,13.3
LA,Jackson (Parish),100,1344,82,6.6,88.1,5.4
LA,Jefferson (Parish),4012,59739,646,6.2,92.8,1
LA,Jefferson Davis (Parish),1347,8367,569,13.1,81.4,5.5
LA,La Salle (Parish),81,1491,68,4.9,90.9,4.1
LA,Lafayette (Parish),3839,10261,862,25.7,68.6,5.8
LA,Lafourche (Parish),824,4074,368,15.6,77.4,7
LA,Lincoln (Parish),171,2527,124,6.1,89.5,4.4
LA,Livingston (Parish),15361,19653,1073,42.6,54.5,3
LA,Madison (Parish),28,195,21,11.5,79.9,8.6
LA,Morehouse (Parish),584,2631,222,17,76.5,6.5
LA,Natchitoches (Parish),667,5392,277,10.5,85.1,4.4
LA,Orleans (Parish),3716,56737,773,6.1,92.7,1.3
LA,Ouachita (Parish),4002,15817,559,19.6,77.6,2.7
LA,Plaquemines (Parish),904,6032,226,12.6,84.2,3.2
LA,Pointe Coupee (Parish),229,989,130,17,73.4,9.6
LA,Rapides (Parish),2284,41084,1091,5.1,92.4,2.5
LA,Red River (Parish),29,129,9,17.4,77.2,5.4
LA,Richland (Parish),249,910,101,19.8,72.2,8
LA,Sabine (Parish),249,2802,172,7.7,86.9,5.3
LA,St. Bernard (Parish),657,8206,239,7.2,90.2,2.6
LA,St. Charles (Parish),329,3967,146,7.4,89.3,3.3
LA,St. Helena (Parish),467,2044,415,16,69.9,14.2
LA,St. James (Parish),311,1764,144,14,79.5,6.5
LA,St. John the Baptist (Parish),1875,10585,203,14.8,83.6,1.6
LA,St. Landry (Parish),1582,6479,852,17.7,72.7,9.6
LA,St. Martin (Parish),988,3202,565,20.8,67.3,11.9
LA,St. Mary (Parish),446,1512,127,21.4,72.5,6.1
LA,St. Tammany (Parish),1774,15188,293,10.3,88,1.7
LA,Tangipahoa (Parish),5728,18367,1947,22,70.5,7.5
LA,Terrebonne (Parish),818,3774,335,16.6,76.6,6.8
LA,Union (Parish),320,2148,93,12.5,83.9,3.6
LA,Vermilion (Parish),1776,5892,656,21.3,70.8,7.9
LA,Vernon (Parish),1073,8945,389,10.3,86,3.7
LA,Washington (Parish),920,4577,450,15.5,77,7.6
LA,Webster (Parish),232,904,99,18.8,73.2,8
LA,West Baton Rouge (Parish),89,566,59,12.5,79.3,8.3
LA,West Carroll (Parish),116,531,51,16.6,76.1,7.3
LA,West Feliciana (Parish),73,405,48,13.9,77,9.1
LA,Winn (Parish),274,2096,142,10.9,83.4,5.7
MA,Barnstable (County),,100,,,100,
MA,Berkshire (County),220,559,2,28.2,71.6,0.3
MA,"Bristol (County)(in (P)MSA 1120,1200,2480,5400,6060)",884,6030,8,12.8,87.1,0.1
MA,"Essex (County)(in PMSA 1120,4160,7090)",616,3528,4,14.9,85.1,0.1
MA,Franklin (County),96,413,4,18.7,80.5,0.8
MA,Hampden (County),564,4357,10,11.4,88.4,0.2
MA,Hampshire (County),,40,,,100,
MA,"Middlesex (County)(in (P)MSA 1120,2600,4560)",1377,9272,9,12.9,87,0.1
MA,"Norfolk (County)(in PMSA 1120,1200,6060)",828,6739,5,10.9,89,0.1
MA,"Plymouth (County)(in (P)MSA 1120,1200,5400)",819,5251,9,13.5,86.4,0.1
MA,Suffolk (County),514,2793,7,15.5,84.3,0.2
MA,"Worcester (County) (in (P)MSA 1120,2600,9240)",235,2239,6,9.5,90.3,0.2
MD,Allegany (County),,62,,,100,
MD,Anne Arundel (County),,254,,,100,
MD,Baltimore,,521,,,100,
MD,Baltimore (County),,461,,,100,
MD,Calvert (County),,20,,,100,
MD,Caroline (County),,5,,,100,
MD,Carroll (County),,79,,,100,
MD,Cecil (County),,35,,,100,
MD,Charles (County),,67,,,100,
MD,Dorchester (County),,8,,,100,
MD,Frederick (County),,102,,,100,
MD,Garrett (County),,18,,,100,
MD,Harford (County),,83,,,100,
MD,Howard (County),,83,,,100,
MD,Kent (County),,11,,,100,
MD,Montgomery (County),,705,,,100,
MD,Prince George's (County),,566,,,100,
MD,Queen Anne's (County),,14,,,100,
MD,Somerset (County),308,1034,27,22.5,75.5,2
MD,St. Mary's (County),,42,,,100,
MD,Talbot (County),,14,,,100,
MD,Washington (County),,97,,,100,
MD,Wicomico (County),,112,,,100,
MD,Worcester (County),,35,,,100,
ME,Androscoggin (County),,17,,,100,
ME,Aroostook (County),,9,,,100,
ME,Cumberland (County),,50,,,100,
ME,Franklin (County),,3,,,100,
ME,Hancock (County),,3,,,100,
ME,Kennebec (County),,14,,,100,
ME,Knox (County),,1,,,100,
ME,Oxford (County),,4,,,100,
ME,Penobscot (County),,31,,,100,
ME,Piscataquis (County),,2,,,100,
ME,Sagadahoc (County),,1,,,100,
ME,Somerset (County),,6,,,100,
ME,Waldo (County),,1,,,100,
ME,Washington (County),,1,,,100,
ME,"York (County)(in MSA 6400,6450)",,20,,,100,
MI,Alcona (County),,1,,,100,
MI,Allegan (County),,12,,,100,
MI,Alpena (County),,19,,,100,
MI,Antrim (County),,1,,,100,
MI,Arenac (County),57,217,3,20.6,78.3,1.1
MI,Baraga (County),,11,,,100,
MI,Barry (County),,8,,,100,
MI,Bay (County),53,426,6,10.9,87.8,1.2
MI,Berrien (County),,74,,,100,
MI,Branch (County),,9,,,100,
MI,Calhoun (County),,58,,,100,
MI,Cass (County),,7,,,100,
MI,Charlevoix (County),,2,,,100,
MI,Cheboygan (County),,6,,,100,
MI,Chippewa (County),,12,,,100,
MI,Clare (County),,7,,,100,
MI,Clinton (County),,6,,,100,
MI,Crawford (County),,15,,,100,
MI,Delta (County),,17,,,100,
MI,Dickinson (County),,16,,,100,
MI,Eaton (County),,13,,,100,
MI,Emmet (County),,15,,,100,
MI,Genesee (County),,311,,,100,
MI,Gladwin (County),333,800,33,28.6,68.6,2.8
MI,Gogebic (County),,7,,,100,
MI,Grand Traverse (County),,53,,,100,
MI,Gratiot (County),,28,,,100,
MI,Hillsdale (County),,12,,,100,
MI,Houghton (County),,8,,,100,
MI,Huron (County),,14,,,100,
MI,Ingham (County),,143,,,100,
MI,Ionia (County),,12,,,100,
MI,Iosco (County),14,96,9,11.8,80.7,7.6
MI,Iron (County),,5,,,100,
MI,Isabella (County),159,762,10,17.1,81.8,1.1
MI,Jackson (County),,84,,,100,
MI,Kalamazoo (County),,143,,,100,
MI,Kent (County),,262,,,100,
MI,Keweenaw (County),,1,,,100,
MI,Lake (County),,1,,,100,
MI,Lapeer (County),,45,,,100,
