GEOID,majority
48175,White
48177,Non-White
48179,White
48181,White
48183,White
48185,White
48187,White
48189,Non-White
48191,White
48193,White
48195,White
48197,White
48199,White
48201,Non-White
48203,White
48205,White
48207,White
48209,White
48211,White
48213,White
48215,Non-White
48217,White
48219,Non-White
48221,White
48223,White
48225,White
48227,Non-White
48229,Non-White
48231,White
48233,White
48235,White
48237,White
48239,White
48241,White
48243,White
48245,Non-White
48247,Non-White
48249,Non-White
48251,White
48253,White
48255,Non-White
48257,White
48259,White
48261,Non-White
48263,White
48265,White
48267,White
48269,White
48271,Non-White
48273,Non-White
48275,White
48277,White
48279,Non-White
48281,White
48283,Non-White
48285,White
48287,White
48289,White
48291,White
48293,White
48295,White
48297,White
48299,White
48301,White
48303,White
48305,Non-White
48307,White
48309,White
48311,Non-White
48313,White
48315,White
48317,White
48319,White
48321,Non-White
48323,Non-White
48325,Non-White
48327,White
48329,Non-White
48331,White
48333,White
48335,Non-White
48337,White
48339,White
48341,Non-White
48343,White
48345,White
48347,White
48349,White
48351,White
48353,White
48355,Non-White
48357,Non-White
48359,White
48361,White
48363,White
48365,White
48367,White
48369,Non-White
48371,Non-White
48373,White
48375,Non-White
48377,Non-White
48379,White
48381,White
48383,Non-White
48385,White
48387,White
48389,Non-White
48391,Non-White
48393,White
48395,White
48397,White
48399,White
48401,White
48403,White
48405,White
48407,White
48409,Non-White
48411,White
48413,Non-White
48415,White
48417,White
48419,White
48421,White
48423,White
48425,White
48427,Non-White
48429,White
48431,Non-White
48433,White
48435,Non-White
48437,Non-White
48439,Non-White
48441,White
48443,Non-White
48445,Non-White
48447,White
48449,Non-White
48451,White
48453,Non-White
48455,White
48457,White
48459,White
48461,Non-White
48463,Non-White
48465,Non-White
48467,White
48469,Non-White
48471,White
48473,Non-White
48475,Non-White
48477,White
48479,Non-White
48481,Non-White
48483,White
48485,White
48487,White
48489,Non-White
48491,White
48493,White
48495,Non-White
48497,White
48499,White
48501,Non-White
48503,White
48505,Non-White
48507,Non-White
49001,White
49003,White
49005,White
49007,White
49009,White
49011,White
49013,White
49015,White
49017,White
49019,White
49021,White
49023,White
49025,White
49027,White
49029,White
49031,White
49033,White
49035,White
49037,Non-White
49039,White
49041,White
49043,White
49045,White
49047,White
49049,White
49051,White
49053,White
49055,White
49057,White
50001,White
50003,White
50005,White
50007,White
50009,White
50011,White
50013,White
50015,White
50017,White
50019,White
50021,White
50023,White
50025,White
50027,White
51001,White
51003,White
51005,White
51007,White
51009,White
51011,White
51013,White
51015,White
51017,White
51019,White
51021,White
51023,White
51025,Non-White
51027,White
51029,White
51031,White
51033,White
51035,White
51036,Non-White
51037,White
51041,White
51043,White
51045,White
51047,White
51049,White
51051,White
51053,White
51057,White
51059,White
51061,White
51063,White
51065,White
51067,White
51069,White
51071,White
51073,White
51075,White
51077,White
51079,White
51081,Non-White
51083,White
51085,White
51087,White
51089,White
51091,White
51093,White
51095,White
51097,White
51099,White
51101,White
51103,White
51105,White
51107,White
51109,White
51111,White
51113,White
51115,White
51117,White
51119,White
51121,White
51125,White
51127,White
51131,White
51133,White
51135,White
51137,White
51139,White
51141,White
51143,White
51145,White
51147,White
51149,White
51153,Non-White
51155,White
51157,White
51159,White
51161,White
51163,White
51165,White
51167,White
51169,White
51171,White
51173,White
51175,White
51177,White
51179,White
51181,White
51183,Non-White
51185,White
51187,White
51191,White
51193,White
51195,White
51197,White
51199,White
51510,White
51520,White
51530,White
51540,White
51550,White
51570,White
51580,White
51590,Non-White
51595,Non-White
51600,White
51610,White
51620,Non-White
51630,White
51640,White
51650,Non-White
51660,White
51670,Non-White
51678,White
51680,White
51683,Non-White
51685,Non-White
51690,Non-White
51700,Non-White
51710,Non-White
51720,White
51730,Non-White
51735,White
51740,Non-White
51750,White
51760,Non-White
51770,White
51775,White
51790,White
51800,Non-White
51810,White
51820,White
51830,White
51840,White
53001,Non-White
53003,White
53005,White
53007,White
53009,White
53011,White
53013,White
53015,White
53017,White
53019,White
53021,Non-White
53023,White
53025,White
53027,White
53029,White
53031,White
53033,White
53035,White
53037,White
53039,White
53041,White
53043,White
53045,White
53047,White
53049,White
53051,White
53053,White
53055,White
53057,White
53059,White
53061,White
53063,White
53065,White
53067,White
53069,White
53071,White
53073,White
53075,White
53077,Non-White
54001,White
54003,White
54005,White
54007,White
54009,White
54011,White
54013,White
54015,White
54017,White
54019,White
54021,White
54023,White
54025,White
54027,White
54029,White
54031,White
54033,White
54035,White
54037,White
54039,White
54041,White
54043,White
54045,White
54047,White
54049,White
54051,White
54053,White
54055,White
54057,White
54059,White
54061,White
54063,White
54065,White
54067,White
54069,White
54071,White
54073,White
54075,White
54077,White
54079,White
54081,White
54083,White
54085,White
54087,White
54089,White
54091,White
54093,White
54095,White
54097,White
54099,White
54101,White
54103,White
54105,White
54107,White
54109,White
55001,White
55003,White
55005,White
55007,White
55009,White
55011,White
55013,White
55015,White
55017,White
55019,White
55021,White
55023,White
55025,White
55027,White
55029,White
55031,White
55033,White
55035,White
55037,White
55039,White
55041,White
55043,White
55045,White
55047,White
55049,White
55051,White
55053,White
55055,White
55057,White
55059,White
55061,White
55063,White
55065,White
55067,White
55069,White
55071,White
55073,White
55075,White
55077,White
55078,Non-White
55079,White
55081,White
55083,White
55085,White
55087,White
55089,White
55091,White
55093,White
55095,White
55097,White
55099,White
55101,White
55103,White
55105,White
55107,White
55109,White
55111,White
55113,White
55115,White
55117,White
55119,White
55121,White
55123,White
55125,White
55127,White
55129,White
55131,White
55133,White
55135,White
55137,White
55139,White
55141,White
56001,White
56003,White
56005,White
56007,White
56009,White
56011,White
56013,White
56015,White
56017,White
56019,White
56021,White
56023,White
56025,White
56027,White
56029,White
56031,White
56033,White
56035,White
56037,White
56039,White
56041,White
56043,White
56045,White
72001,Non-White
72003,Non-White
72005,Non-White
72007,Non-White
72009,Non-White
72011,Non-White
72013,Non-White
72015,Non-White
72017,Non-White
72019,Non-White
72021,Non-White
72023,Non-White
72025,Non-White
72027,Non-White
72029,Non-White
72031,Non-White
72033,Non-White
72035,Non-White
72037,Non-White
72039,Non-White
72041,Non-White
72043,Non-White
72045,Non-White
72047,Non-White
72049,Non-White
72051,Non-White
72053,Non-White
72054,Non-White
72055,Non-White
72057,Non-White
72059,Non-White
72061,Non-White
72063,Non-White
72065,Non-White
72067,Non-White
72069,Non-White
72071,Non-White
72073,Non-White
72075,Non-White
72077,Non-White
72079,Non-White
72081,Non-White
72083,Non-White
72085,Non-White
72087,Non-White
72089,Non-White
72091,Non-White
72093,Non-White
72095,Non-White
72097,Non-White
72099,Non-White
72101,Non-White
72103,Non-White
72105,Non-White
72107,Non-White
72109,Non-White
72111,Non-White
72113,Non-White
72115,Non-White
72117,Non-White
72119,Non-White
72121,Non-White
72123,Non-White
72125,Non-White
72127,Non-White
72129,Non-White
72131,Non-White
72133,Non-White
72135,Non-White
72137,Non-White
72139,Non-White
72141,Non-White
72143,Non-White
72145,Non-White
72147,Non-White
72149,Non-White
72151,Non-White
72153,Non-White
