GEOID,majority
16031,White
16033,Non-White
16035,White
16037,White
16039,White
16041,White
16043,White
16045,White
16047,White
16049,White
16051,White
16053,White
16055,White
16057,White
16059,White
16061,White
16063,White
16065,White
16067,White
16069,White
16071,White
16073,White
16075,White
16077,White
16079,White
16081,White
16083,White
16085,White
16087,White
17001,White
17003,White
17005,White
17007,White
17009,White
17011,White
17013,White
17015,White
17017,White
17019,White
17021,White
17023,White
17025,White
17027,White
17029,White
17031,Non-White
17033,White
17035,White
17037,White
17039,White
17041,White
17043,White
17045,White
17047,White
17049,White
17051,White
17053,White
17055,White
17057,White
17059,White
17061,White
17063,White
17065,White
17067,White
17069,White
17071,White
17073,White
17075,White
17077,White
17079,White
17081,White
17083,White
17085,White
17087,White
17089,White
17091,White
17093,White
17095,White
17097,White
17099,White
17101,White
17103,White
17105,White
17107,White
17109,White
17111,White
17113,White
17115,White
17117,White
17119,White
17121,White
17123,White
17125,White
17127,White
17129,White
17131,White
17133,White
17135,White
17137,White
17139,White
17141,White
17143,White
17145,White
17147,White
17149,White
17151,White
17153,White
17155,White
17157,White
17159,White
17161,White
17163,White
17165,White
17167,White
17169,White
17171,White
17173,White
17175,White
17177,White
17179,White
17181,White
17183,White
17185,White
17187,White
17189,White
17191,White
17193,White
17195,White
17197,White
17199,White
17201,White
17203,White
18001,White
18003,White
18005,White
18007,White
18009,White
18011,White
18013,White
18015,White
18017,White
18019,White
18021,White
18023,White
18025,White
18027,White
18029,White
18031,White
18033,White
18035,White
18037,White
18039,White
18041,White
18043,White
18045,White
18047,White
18049,White
18051,White
18053,White
18055,White
18057,White
18059,White
18061,White
18063,White
18065,White
18067,White
18069,White
18071,White
18073,White
18075,White
18077,White
18079,White
18081,White
18083,White
18085,White
18087,White
18089,White
18091,White
18093,White
18095,White
18097,White
18099,White
18101,White
18103,White
18105,White
18107,White
18109,White
18111,White
18113,White
18115,White
18117,White
18119,White
18121,White
18123,White
18125,White
18127,White
18129,White
18131,White
18133,White
18135,White
18137,White
18139,White
18141,White
18143,White
18145,White
18147,White
18149,White
18151,White
18153,White
18155,White
18157,White
18159,White
18161,White
18163,White
18165,White
18167,White
18169,White
18171,White
18173,White
18175,White
18177,White
18179,White
18181,White
18183,White
19001,White
19003,White
19005,White
19007,White
19009,White
19011,White
19013,White
19015,White
19017,White
19019,White
19021,White
19023,White
19025,White
19027,White
19029,White
19031,White
19033,White
19035,White
19037,White
19039,White
19041,White
19043,White
19045,White
19047,White
19049,White
19051,White
19053,White
19055,White
19057,White
19059,White
19061,White
19063,White
19065,White
19067,White
19069,White
19071,White
19073,White
19075,White
19077,White
19079,White
19081,White
19083,White
19085,White
19087,White
19089,White
19091,White
19093,White
19095,White
19097,White
19099,White
19101,White
19103,White
19105,White
19107,White
19109,White
19111,White
19113,White
19115,White
19117,White
19119,White
19121,White
19123,White
19125,White
19127,White
19129,White
19131,White
19133,White
19135,White
19137,White
19139,White
19141,White
19143,White
19145,White
19147,White
19149,White
19151,White
19153,White
19155,White
19157,White
19159,White
19161,White
19163,White
19165,White
19167,White
19169,White
19171,White
19173,White
19175,White
19177,White
19179,White
19181,White
19183,White
19185,White
19187,White
19189,White
19191,White
19193,White
19195,White
19197,White
20001,White
20003,White
20005,White
20007,White
20009,White
20011,White
20013,White
20015,White
20017,White
20019,White
20021,White
20023,White
20025,White
20027,White
20029,White
20031,White
20033,White
20035,White
20037,White
20039,White
20041,White
20043,White
20045,White
20047,White
20049,White
20051,White
20053,White
20055,Non-White
20057,Non-White
20059,White
20061,White
20063,White
20065,White
20067,White
20069,White
20071,White
20073,White
20075,White
20077,White
20079,White
20081,White
20083,White
20085,White
20087,White
20089,White
20091,White
20093,White
20095,White
20097,White
20099,White
20101,White
20103,White
20105,White
20107,White
20109,White
20111,White
20113,White
20115,White
20117,White
20119,White
20121,White
20123,White
20125,White
20127,White
20129,White
20131,White
20133,White
20135,White
20137,White
20139,White
20141,White
20143,White
20145,White
20147,White
20149,White
20151,White
20153,White
20155,White
20157,White
20159,White
20161,White
20163,White
20165,White
20167,White
20169,White
20171,White
20173,White
20175,Non-White
20177,White
20179,White
20181,White
20183,White
20185,White
20187,White
20189,White
20191,White
20193,White
20195,White
20197,White
20199,White
20201,White
20203,White
20205,White
20207,White
20209,Non-White
21001,White
21003,White
21005,White
21007,White
21009,White
21011,White
21013,White
21015,White
21017,White
21019,White
21021,White
21023,White
21025,White
21027,White
21029,White
21031,White
21033,White
21035,White
21037,White
21039,White
21041,White
21043,White
21045,White
21047,White
21049,White
21051,White
21053,White
21055,White
21057,White
21059,White
21061,White
21063,White
21065,White
21067,White
21069,White
21071,White
21073,White
21075,White
21077,White
21079,White
21081,White
21083,White
21085,White
21087,White
21089,White
21091,White
21093,White
21095,White
21097,White
21099,White
21101,White
21103,White
21105,White
21107,White
21109,White
21111,White
21113,White
21115,White
21117,White
21119,White
21121,White
21123,White
21125,White
21127,White
21129,White
21131,White
21133,White
21135,White
21137,White
21139,White
21141,White
21143,White
21145,White
21147,White
21149,White
21151,White
21153,White
21155,White
21157,White
21159,White
21161,White
21163,White
21165,White
21167,White
21169,White
21171,White
21173,White
21175,White
21177,White
21179,White
21181,White
21183,White
21185,White
21187,White
21189,White
21191,White
21193,White
21195,White
21197,White
21199,White
21201,White
21203,White
21205,White
21207,White
21209,White
21211,White
21213,White
21215,White
21217,White
21219,White
21221,White
21223,White
21225,White
21227,White
21229,White
21231,White
21233,White
21235,White
21237,White
21239,White
22001,White
22003,White
22005,White
22007,White
22009,White
22011,White
22013,White
22015,White
22017,Non-White
22019,White
22021,White
22023,White
22025,White
22027,Non-White
22029,White
22031,White
22033,Non-White
22035,Non-White
22037,White
22039,White
22041,White
22043,White
22045,White
22047,Non-White
22049,White
22051,White
22053,White
22055,White
22057,White
22059,White
22061,White
22063,White
22065,Non-White
22067,Non-White
22069,White
22071,Non-White
22073,White
22075,White
22077,White
22079,White
22081,White
22083,White
22085,White
22087,White
22089,White
22091,Non-White
22093,Non-White
22095,Non-White
22097,White
22099,White
22101,White
22103,White
22105,White
22107,Non-White
22109,White
22111,White
22113,White
22115,White
22117,White
22119,White
22121,White
22123,White
22125,White
22127,White
23001,White
23003,White
23005,White
23007,White
23009,White
23011,White
23013,White
23015,White
23017,White
23019,White
23021,White
23023,White
23025,White
23027,White
23029,White
23031,White
24001,White
24003,White
24005,White
24009,White
24011,White
24013,White
24015,White
24017,Non-White
24019,White
24021,White
24023,White
24025,White
24027,White
24029,White
24031,Non-White
24033,Non-White
24035,White
24037,White
24039,White
24041,White
24043,White
24045,White
24047,White
24510,Non-White
25001,White
25003,White
25005,White
25007,White
25009,White
25011,White
25013,White
25015,White
25017,White
25019,White
25021,White
25023,White
25025,Non-White
25027,White
26001,White
26003,White
26005,White
