GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
04027,Hispanic,Non-White,30.97,1.68,1.19,0.06,63.76,4,suburban
05001,White,White,69.76,25.88,0.04,0,3.19,6,rural
05003,White,White,68.23,25.27,0.19,0,5.43,6,rural
05005,White,White,94.71,0.16,0.43,0.04,2.38,5,rural
05007,White,White,73.33,1.65,3.84,0.61,16.62,3,suburban
05009,White,White,93.87,0.33,0.37,0.09,2.49,5,rural
05011,White,White,55.5,28.8,0.06,0,15.39,6,rural
05013,White,White,72.46,21.48,0,0.31,3.99,5,rural
05015,White,White,79.62,0.5,1.38,0.92,14.96,6,rural
05017,Black,Non-White,38.73,53.88,0.58,0,5.5,6,rural
05019,White,White,68.69,24.24,0.7,0.03,4.73,5,rural
05021,White,White,95.34,0.67,0.03,0,2.06,6,rural
05023,White,White,94.67,0.39,0.67,0,2.43,6,rural
05025,White,White,84.57,12.8,0,0,1.24,4,suburban
05027,White,White,59.27,35.92,1.07,0,2.71,5,rural
05029,White,White,81.59,10.26,0.3,0,3.92,6,rural
05031,White,White,76.03,14.5,1.41,0.01,5.05,4,suburban
05033,White,White,84.27,1.39,1.85,0.02,7.73,3,suburban
05035,Black,Non-White,41.99,47.82,0.69,0.04,2.56,2,urban
05037,White,White,72.65,18.67,0.03,0,0.99,6,rural
05039,White,White,53.13,43.22,0.05,0.25,1.35,6,rural
05041,Black,Non-White,45.23,46.6,0.44,0,6.13,6,rural
05043,White,White,66.28,28.61,0.33,0,3.43,6,rural
05045,White,White,80.04,11.34,1.33,0.12,4.09,3,suburban
05047,White,White,92.05,0.95,0.82,0.19,3.02,6,rural
05049,White,White,94.91,0.47,0.07,0.07,1.6,6,rural
05051,White,White,82.06,8.17,0.6,0,5.63,4,suburban
05053,White,White,92.57,2.57,0.04,0.07,2.75,3,suburban
05055,White,White,93,1.92,0.36,0.03,2.85,5,rural
05057,White,White,54.61,29.98,0.12,0.33,12.82,6,rural
05059,White,White,82.53,11.36,0.4,0.02,3.5,5,rural
05061,White,White,64.14,20.88,0.27,0.09,12.54,6,rural
05063,White,White,88.71,1.81,0.71,0.02,6.31,5,rural
05065,White,White,92.93,1.83,0,0,2.31,6,rural
05067,White,White,76.83,12.2,0.05,0.04,2.89,6,rural
05069,Black,Non-White,38.88,56.49,0.95,0.13,2.1,4,suburban
05071,White,White,79.18,1.56,2.06,0.08,13.92,6,rural
05073,White,White,58.59,35.76,0.4,0,2.68,6,rural
05075,White,White,95.26,1.12,0.15,0.01,1.55,6,rural
05077,Black,Non-White,41.04,55.33,0.16,0,2.5,6,rural
05079,White,White,64.2,30.52,0,0,3.93,4,suburban
05081,White,White,72.89,21.95,0.34,0,1.53,4,suburban
05083,White,White,90.44,1.38,2.19,0,2.98,6,rural
05085,White,White,86,5.64,0.78,0.27,4.47,3,suburban
05087,White,White,89.33,0.1,1.2,0.59,5.72,3,suburban
05089,White,White,94.1,0.49,0.89,0,2.3,6,rural
05091,White,White,68.47,24.64,0.4,0.04,3.33,4,suburban
05093,White,White,58.28,33.74,0.56,0.08,4.13,5,rural
05095,White,White,54.16,42.98,0.43,0,0.64,6,rural
05097,White,White,90.93,0.29,0.4,0,4.34,6,rural
05099,White,White,62.81,34.53,0.04,0.02,0.02,6,rural
05101,White,White,93.89,0.03,0.65,0.77,0.42,5,rural
05103,White,White,55.13,41.4,0.08,0,2.34,5,rural
05105,White,White,95.46,0.54,0,0,2.93,3,suburban
05107,Black,Non-White,34.5,63.15,0,0,1.88,5,rural
05109,White,White,87.37,4.08,0.43,0,6.51,6,rural
05111,White,White,86.81,4.57,0.05,0,3.04,4,suburban
05113,White,White,87.6,0.47,0.28,0,6.59,6,rural
05115,White,White,84.01,2.93,1.03,0,9.02,5,rural
05117,White,White,84.65,12.42,0.21,0,1.73,6,rural
05119,White,White,52.27,36.67,2.2,0.03,6.15,3,suburban
05121,White,White,93.9,1.09,0.12,0.32,2.07,6,rural
05123,Black,Non-White,39.97,53.14,0.62,0.14,5.19,5,rural
05125,White,White,84.59,7.09,1.27,0.12,4.76,3,suburban
05127,White,White,84.35,0.24,0.72,0,7.7,6,rural
05129,White,White,93.13,0.61,0.7,0,2.42,6,rural
05131,White,White,69.56,6.71,4.48,0.01,14.22,3,suburban
05133,White,White,57.28,4.79,0.44,0.47,33.43,6,rural
05135,White,White,93.44,0.72,0.08,0,2.28,6,rural
05137,White,White,94.65,0.09,0.51,0,1.95,6,rural
05139,White,White,60.52,32.66,0.65,0,4,5,rural
05141,White,White,93.47,0.47,0.22,0.13,3.12,6,rural
05143,White,White,70.89,3.58,2.41,2.27,16.78,3,suburban
05145,White,White,88.07,4.23,0.74,0,4.34,5,rural
05147,White,White,69.39,28.15,0.9,0,0.46,6,rural
05149,White,White,75.27,2.07,0.99,0,20.15,5,rural
06001,White,Non-White,31.41,10.33,29.94,0.8,22.39,1,urban
06003,White,White,53.03,0.87,0.96,0,12.51,6,rural
06005,White,White,78.16,2.21,1.24,0.14,13.9,6,rural
06007,White,White,71.98,1.48,4.45,0.21,16.35,4,suburban
06009,White,White,80.94,0.69,1.5,0.04,12.06,6,rural
06011,Hispanic,Non-White,35.31,1.19,1.27,0.18,59.37,6,rural
06013,White,Non-White,43.83,8.4,16.48,0.46,25.59,2,urban
06015,White,White,61.93,3.27,3.14,0.16,19.75,5,rural
06017,White,White,77.82,0.76,4.5,0.25,12.83,2,urban
06019,Hispanic,Non-White,29.42,4.49,10.1,0.12,53.06,3,suburban
06021,White,White,51.47,0.69,2.95,0.04,41.75,6,rural
06023,White,White,74.35,0.98,3,0.32,11.57,5,rural
06025,Hispanic,Non-White,10.64,2.15,1.31,0.13,84.21,4,suburban
06027,White,White,62.15,0.78,1.81,0.19,22.36,6,rural
06029,Hispanic,Non-White,34.16,5.16,4.59,0.13,53.33,3,suburban
06031,Hispanic,Non-White,32.21,5.83,3.69,0.16,54.49,4,suburban
06033,White,White,70.5,2.07,1.07,0.07,20.6,5,rural
06035,White,White,65.43,8.48,1.39,0.8,18.96,5,rural
06037,Hispanic,Non-White,26.2,7.84,14.43,0.24,48.49,1,urban
06039,Hispanic,Non-White,34.13,3.07,1.94,0.09,57.77,4,suburban
06041,White,White,71.15,2.13,5.81,0.1,15.98,2,urban
06043,White,White,79.99,1.45,1.21,0.3,11.27,6,rural
06045,White,White,65.19,0.72,2.03,0.19,25.11,5,rural
06047,Hispanic,Non-White,27.65,2.88,7.24,0.22,59.63,3,suburban
06049,White,White,77.69,1.53,1.11,0.1,14.49,6,rural
06051,White,White,65.05,0.41,2.54,0,27.01,6,rural
06053,Hispanic,Non-White,29.93,2.48,5.39,0.46,58.67,3,suburban
06055,White,White,52.43,1.99,8.02,0.2,34.05,4,suburban
06057,White,White,85.16,0.48,1.05,0.12,9.44,5,rural
06059,White,Non-White,40.59,1.62,20.29,0.28,34.05,1,urban
06061,White,White,72.66,1.65,7.41,0.15,14,2,urban
06063,White,White,83.14,0.76,1.14,0.46,8.95,6,rural
06065,Hispanic,Non-White,35.32,6.1,6.32,0.27,48.91,1,urban
06067,White,Non-White,44.72,9.49,15.44,1.12,23.18,1,urban
06069,Hispanic,Non-White,34.29,0.75,2.91,0.06,59.76,2,urban
06071,Hispanic,Non-White,28.53,7.88,6.99,0.29,53.32,2,urban
06073,White,Non-White,45.56,4.71,11.63,0.38,33.7,1,urban
06075,White,Non-White,40.51,5,34.07,0.34,15.24,1,urban
06077,Hispanic,Non-White,31.85,6.74,15.2,0.55,41.4,3,suburban
06079,White,White,68.89,1.74,3.53,0.09,22.52,3,suburban
06081,White,Non-White,39.24,2.18,28.31,1.32,24.4,2,urban
06083,Hispanic,Non-White,44.51,1.89,5.37,0.09,45.37,3,suburban
06085,Asian,Non-White,31.54,2.35,36.28,0.32,25.47,1,urban
06087,White,White,57.27,0.91,4.56,0.07,33.57,3,suburban
06089,White,White,79.8,1.13,3.21,0.14,10.03,4,suburban
06091,White,White,87.57,0.07,0,0,10.66,6,rural
06093,White,White,76.1,1.57,1.6,0.29,12.58,6,rural
06095,White,Non-White,38.04,13.5,14.99,0.89,26.45,3,suburban
06097,White,White,63.23,1.48,4.02,0.3,26.73,3,suburban
06099,Hispanic,Non-White,41.86,2.82,5.39,0.67,46.26,3,suburban
06101,White,Non-White,46.21,1.75,15.52,0.39,30.95,4,suburban
06103,White,White,68.34,0.74,1.51,0.02,24.97,5,rural
06105,White,White,82.1,1,1.65,0.22,7.3,6,rural
06107,Hispanic,Non-White,28.52,1.25,3.24,0.14,64.57,3,suburban
06109,White,White,80.19,1.75,1.35,0.23,12.24,5,rural
06111,White,Non-White,45.42,1.69,7.17,0.17,42.68,3,suburban
06113,White,Non-White,46.68,2.43,13.87,0.41,31.61,2,urban
06115,White,White,55.19,3.34,6.65,0.39,28.24,4,suburban
08001,White,White,50.02,3.2,3.87,0.11,40.03,2,urban
08003,White,Non-White,47.63,0.49,0.97,0.37,46.77,6,rural
08005,White,White,60.28,10.49,5.94,0.22,19.23,2,urban
08007,White,White,76.33,1.4,0.95,0.11,18.37,6,rural
08009,White,White,84.84,0.95,0,0.08,10.95,6,rural
08011,White,White,63.37,3.65,0.21,0,32.05,6,rural
08013,White,White,77.57,0.84,4.71,0.06,13.87,3,suburban
08014,White,White,76.77,1.14,6.5,0,12.38,2,urban
08015,White,White,84.93,1.69,1.42,0,10.04,6,rural
08017,White,White,77.79,0.1,2.17,0.2,17.08,6,rural
08019,White,White,88.7,1.08,0.96,0.15,6.97,2,urban
08021,Hispanic,Non-White,44.56,0.49,0.16,0.33,52.45,6,rural
08023,Hispanic,Non-White,33.38,0.37,1.28,0,61.87,6,rural
08025,White,White,61.52,3.53,0.54,0,31.86,6,rural
08027,White,White,85.15,2.89,0,0,9.21,6,rural
08029,White,White,81.33,0.58,0.86,0,15.21,6,rural
08031,White,White,54.17,8.89,3.65,0.13,29.9,1,urban
08033,White,White,89.77,0,0,0,7.05,6,rural
08035,White,White,82.23,1.33,4.73,0.07,8.69,2,urban
08037,White,White,67.2,1.12,0.65,0.06,29.59,5,rural
08039,White,White,88.52,0.4,0.82,0.04,7,2,urban
08041,White,White,69.1,5.99,2.75,0.35,17.1,3,suburban
08043,White,White,79.09,4.43,0.66,0.01,13.29,5,rural
08045,White,White,68.14,0.48,0.9,0.04,28.43,5,rural
08047,White,White,85.29,0.33,0,0,8.36,2,urban
08049,White,White,87.29,1.03,1.39,0.11,8.82,6,rural
08051,White,White,86.94,0.4,0.34,0.21,9.42,6,rural
08053,White,White,89.96,0,0.47,0,5.72,6,rural
08055,White,White,61.13,0.15,0,0,34.29,6,rural
08057,White,White,82.16,0,0,0,17.45,6,rural
08059,White,White,78.12,1.07,2.78,0.05,15.37,2,urban
08061,White,White,91.67,0.4,0,0,4.84,6,rural
08063,White,White,76.96,2.5,0.19,0.26,19.08,6,rural
08065,White,White,63.84,0.12,0.84,0.04,32.36,6,rural
08067,White,White,78.55,0.44,0.7,0.01,12.78,5,rural
08069,White,White,82.59,0.93,2.16,0.08,11.51,3,suburban
08071,White,White,52.89,0.75,0.96,0,41.5,6,rural
08073,White,White,67.11,8.09,0.41,0.23,22.54,6,rural
08075,White,White,76.2,0.83,0.83,0.94,16.75,5,rural
08077,White,White,81.38,0.59,0.93,0.11,14.54,4,suburban
08079,White,White,86.41,0.97,0.49,0,9.59,6,rural
08081,White,White,80.32,0.99,0.14,0,15.57,5,rural
08083,White,White,72.43,0.24,0.75,0.07,12.52,6,rural
08085,White,White,76.05,0.28,0.83,0.27,20.62,5,rural
08087,White,White,58.19,3.64,0.53,0.18,36.14,5,rural
08089,White,White,53.12,0.62,0.87,0.07,41.89,6,rural
08091,White,White,95.7,0.31,0.73,0.06,2.02,6,rural
08093,White,White,88.95,0.15,0.56,0.13,6.11,2,urban
08095,White,White,74.08,0.12,0.51,0,23.94,6,rural
08097,White,White,85.33,0.92,2.21,0,10.09,5,rural
08099,White,White,58.89,0.79,0.58,0,38.04,6,rural
08101,White,White,52.06,1.59,0.63,0.07,42.99,4,suburban
08103,White,White,84.65,0.47,0.13,0,10.26,6,rural
08105,White,White,52.07,0.55,0.07,0.1,44.41,6,rural
08107,White,White,89.72,0.93,1.14,0.02,6.95,5,rural
08109,White,White,58.59,0.5,0,0,36.32,6,rural
08111,White,White,88.79,0,0,0,8.49,6,rural
08113,White,White,85.84,0.01,1.68,0,10.67,6,rural
08115,White,White,84.45,0.82,0.95,0,13.44,6,rural
08117,White,White,82.13,1.02,0.58,0.18,14.3,5,rural
08119,White,White,88.75,0.85,0.79,0.03,6.58,3,suburban
08121,White,White,86.94,0.97,0.6,0.02,10.02,6,rural
08123,White,White,65.6,1.14,1.53,0.09,29.45,3,suburban
08125,White,White,74.71,0.47,0,0,23.42,6,rural
09001,White,White,61.74,10.62,5.28,0.04,19.7,3,suburban
09003,White,White,61.06,12.94,5.32,0.02,18.03,1,urban
09005,White,White,88.42,1.48,1.89,0,6.28,5,rural
09007,White,White,83.9,4.94,3.04,0,6.19,2,urban
09009,White,White,62.89,12.49,4,0.01,18.11,3,suburban
09011,White,White,75.66,5.19,4.09,0.03,10.55,3,suburban
09013,White,White,84.61,2.93,4.87,0,5.52,2,urban
09015,White,White,82.7,1.76,1.37,0.02,11.8,3,suburban
10001,White,White,61.59,25.1,1.99,0.05,7.07,4,suburban
10003,White,White,57.44,24.55,5.47,0.03,9.94,2,urban
10005,White,White,74.96,11.81,1.22,0.03,9.17,3,suburban
11001,Black,Non-White,36.58,45.44,3.93,0.04,11,1,urban
12001,White,White,61.05,19.83,6.06,0.06,9.89,3,suburban
12003,White,White,81.08,13.32,0.61,0.04,2.56,2,urban
12005,White,White,76.12,10.83,2.32,0.1,6.49,4,suburban
12007,White,White,73.54,20.16,0.61,0,4.16,6,rural
12009,White,White,74.44,9.28,2.33,0.09,10.29,3,suburban
12011,White,Non-White,36.28,27.57,3.51,0.05,29.81,2,urban
12013,White,White,77.15,12.99,0.11,0,5.75,6,rural
12015,White,White,83.91,5.35,1.29,0.07,7.28,4,suburban
12017,White,White,88,2.8,1.71,0.03,5.69,4,suburban
12019,White,White,72.74,10.28,2.76,0.05,9.93,2,urban
12021,White,White,62.83,6.68,1.29,0,27.92,3,suburban
12023,White,White,72.27,17.79,1.06,0,6.3,5,rural
12027,White,White,54.76,12.51,0.22,0.11,31.57,5,rural
12029,White,White,84.08,8.76,0.23,0.04,4.06,6,rural
12031,White,White,52.88,29.16,4.57,0.06,9.74,1,urban
12033,White,White,64.34,21.75,2.87,0.13,5.68,3,suburban
12035,White,White,74.66,9.91,2.57,0.09,10.43,3,suburban
12037,White,White,77.11,13.78,0.35,0.36,5.45,6,rural
12039,Black,Non-White,32.32,55.78,0.18,0.04,10.4,3,suburban
12041,White,White,86.22,5.68,0.22,0.01,5.84,3,suburban
12043,White,White,59.74,12.96,0.8,0,21.26,6,rural
12045,White,White,76.31,16.58,0.55,0,4.41,4,suburban
12047,White,White,54.71,33.65,0.14,0,9.43,6,rural
12049,White,Non-White,47.06,7.44,0.86,0.15,43.6,5,rural
12051,Hispanic,Non-White,32.04,11.01,0.87,0,53.74,5,rural
12053,White,White,77.55,4.89,1.18,0.03,13.51,2,urban
12055,White,White,67.09,9.4,1.4,0,20.08,4,suburban
12057,White,Non-White,48.79,15.59,4,0.06,28.67,1,urban
12059,White,White,86.67,6.87,0.59,0.31,2.81,6,rural
12061,White,White,75.29,8.82,1.3,0.04,12.38,4,suburban
12063,White,White,65.32,26.51,0.29,0.16,4.86,6,rural
12065,White,White,59.61,34.35,0.28,0,4.12,3,suburban
12067,White,White,66.2,15.9,0,0.32,15.75,6,rural
12069,White,White,69.7,10.16,1.97,0.03,15.6,2,urban
12071,White,White,67.19,8.15,1.6,0.04,21.38,3,suburban
12073,White,White,56.52,30.57,3.49,0.02,6.41,3,suburban
12075,White,White,79.75,8.67,0.86,0,8.39,6,rural
12077,White,White,76.25,15.6,0.24,0,4.7,6,rural
12079,White,White,54.43,38.21,0.88,0.03,5.51,6,rural
12081,White,White,71.18,8.51,2.05,0.03,16.41,3,suburban
12083,White,White,70.33,12.48,1.43,0.04,13.2,3,suburban
12085,White,White,78.26,5.3,1.37,0.07,13.62,3,suburban
12086,Hispanic,Non-White,13.19,15.79,1.51,0.02,68.49,1,urban
12087,White,White,66.26,6.7,1.3,0.15,24.33,5,rural
12089,White,White,87.07,5.97,1.02,0,4.31,2,urban
12091,White,White,73.62,9.49,2.95,0.09,9.26,4,suburban
12093,White,White,63.2,7.69,0.96,0.26,25.51,5,rural
12095,White,Non-White,40.02,19.79,5.07,0.06,31.64,1,urban
12097,Hispanic,Non-White,31.68,9.27,2.63,0.07,54.11,2,urban
12099,White,White,54.57,18.2,2.65,0.02,22.38,2,urban
12101,White,White,74.55,5.38,2.54,0.06,15.22,2,urban
12103,White,White,73.99,9.94,3.33,0.09,9.7,1,urban
12105,White,White,58.88,14.68,1.73,0.03,22.53,3,suburban
12107,White,White,71.49,16.01,0.61,0.01,9.99,5,rural
12109,White,White,82.63,5.21,2.64,0.08,6.95,2,urban
12111,White,White,57.33,19.33,2,0.08,18.97,3,suburban
12113,White,White,82.37,6.06,1.94,0.16,5.57,3,suburban
12115,White,White,83.05,4.32,1.66,0.02,9.18,3,suburban
12117,White,White,60.32,10.96,4.48,0.04,21.39,2,urban
12119,White,White,84.97,6.75,0.84,0.08,5.74,4,suburban
12121,White,White,75.51,12.73,0.11,0,9.32,6,rural
12123,White,White,72.06,19.87,0.34,0,6.45,6,rural
12125,White,White,69.51,21.74,0.61,0,5.63,6,rural
12127,White,White,71.67,10.42,1.75,0.03,13.91,3,suburban
12129,White,White,79.63,14.95,0.52,0,3.73,3,suburban
12131,White,White,84.27,4.61,1.01,0,6.23,4,suburban
12133,White,White,77.41,14.97,0.67,0.42,3.69,6,rural
13001,White,White,69.12,19.28,0.4,0,9.92,6,rural
13003,White,White,56.52,17.41,0,0,24.88,6,rural
13005,White,White,73.51,15.19,0.17,0.23,8.26,6,rural
13007,White,White,50.64,39.62,3.07,0.67,5.49,4,suburban
13009,White,White,52.38,42.11,1.75,0,2.26,5,rural
13011,White,White,87.8,2.6,1.12,0,6.89,6,rural
13013,White,White,71.34,11.7,3.66,0.01,10.9,2,urban
13015,White,White,77.48,10.32,0.89,0,8.63,2,urban
13017,White,White,55.84,36.61,0.69,0,6.11,5,rural
13019,White,White,81.82,10.6,1.11,0,5.07,6,rural
13021,Black,Non-White,38.32,54.29,2.02,0.05,3.25,4,suburban
13023,White,White,68.56,27.33,0.24,0,2.96,6,rural
13025,White,White,92.16,3.3,1.07,0,2.23,4,suburban
13027,White,White,56.47,35.84,0.42,0.05,5.9,4,suburban
13029,White,White,73.05,13.85,1.41,0,7.08,3,suburban
13031,White,White,63.48,27.76,1.27,0.26,3.99,5,rural
13033,Black,Non-White,47.27,48.06,0.32,0,3.23,3,suburban
13035,White,White,66.03,28.92,0.42,0,3.25,2,urban
13037,Black,Non-White,32.62,60.31,0.58,0,4.74,6,rural
13039,White,White,69.8,18.64,1.92,0.11,6.73,5,rural
13043,White,White,60.64,25.13,0.19,0,11.77,6,rural
13045,White,White,70.25,19.03,0.77,0.09,6.89,2,urban
13047,White,White,90.95,2.05,1.32,0.05,3.02,3,suburban
13049,White,White,61.14,25.88,0.74,0,8.37,6,rural
13051,White,Non-White,48.5,39.43,2.55,0.11,6.4,3,suburban
13053,White,White,57.58,19.88,2.89,0.14,15.86,3,suburban
13055,White,White,82.77,10.3,0.17,0,5.15,5,rural
13057,White,White,78.72,6.71,1.8,0.03,10.52,2,urban
13059,White,White,55.02,27.67,3.87,0.04,10.8,4,suburban
13061,Black,Non-White,35.41,62.39,1.02,0,0.37,6,rural
13063,Black,Non-White,10.07,68.33,5.12,0.06,13.22,2,urban
13065,White,White,65.12,28.42,0,0,4.19,6,rural
13067,White,White,51.91,26.72,5.28,0.04,12.98,2,urban
13069,White,White,58.13,28.43,0.79,0,11.7,5,rural
13071,White,White,55.88,23.16,0.83,0.01,19.21,5,rural
13073,White,White,68.67,16.59,3.76,0,6.7,3,suburban
13075,White,White,64.71,26.92,0.72,0,5.78,6,rural
13077,White,White,71,17.67,2.07,0.02,7.01,2,urban
13079,White,White,73.27,21.97,0.15,0,3.3,4,suburban
13081,White,Non-White,49.88,45.54,0.19,0.11,3.44,5,rural
13083,White,White,93.33,0.65,1.07,0.04,2.28,3,suburban
13085,White,White,92.1,1.05,0.59,0,4.7,2,urban
13087,White,White,50.21,42.05,0.25,0,6.08,5,rural
13089,Black,Non-White,29.13,53.44,6.04,0.04,8.53,2,urban
13091,White,White,64.74,28.74,0.33,0,3.53,6,rural
13093,Black,Non-White,42.59,49.08,0.01,0,6.94,6,rural
13095,Black,Non-White,25.23,69.39,0.96,0.01,2.86,4,suburban
13097,Black,Non-White,40.52,45.93,1.59,0.02,9.66,2,urban
13099,Black,Non-White,45.22,52.2,0.55,0,0.81,6,rural
13101,White,White,66.31,1.98,0,0,27.28,4,suburban
13103,White,White,78.28,13.16,0.88,0.05,4.44,3,suburban
13105,White,White,63.51,29.6,0.43,0,5.7,6,rural
13107,White,White,59.27,33.87,0.15,0,4.5,6,rural
13109,White,White,56.26,29.64,0.91,0,11.72,6,rural
13111,White,White,94.89,0.25,0.37,0.11,2.36,6,rural
13113,White,White,62.2,22.51,4.4,0.13,7.23,2,urban
13115,White,White,70.76,13.87,1.27,0,11.07,4,suburban
13117,White,White,71.7,3.32,12.91,0.02,9.5,2,urban
13119,White,White,83.46,9.31,0.94,0,4.59,6,rural
13121,Black,Non-White,39.64,43.61,7.03,0.02,7.22,1,urban
13123,White,White,85.87,0.41,0.45,0.01,11.58,6,rural
13125,White,White,87.38,10.21,0,0.03,1.23,6,rural
13127,White,White,63.56,26.07,1.27,0.12,6.62,4,suburban
13129,White,White,77.52,3.74,1.02,0.07,15.84,5,rural
13131,White,White,57.97,28.87,0.56,0,11.46,6,rural
13133,White,White,57.52,35,1.14,0.02,6.05,6,rural
13135,White,Non-White,37.29,27.02,11.6,0.02,21.17,2,urban
13137,White,White,77.29,3.19,1.94,0.18,14.79,5,rural
13139,White,White,60.82,7.08,1.78,0.01,28.39,4,suburban
13141,Black,Non-White,24.31,73.13,0.36,0.14,1.67,5,rural
13143,White,White,90.87,5.07,0.41,0,1.7,2,urban
13145,White,White,76.88,16.09,1.03,0.01,3.56,3,suburban
13147,White,White,74.81,19.24,0.93,0,3.65,6,rural
13149,White,White,84.76,8.73,0.53,0.09,2.74,2,urban
13151,Black,Non-White,43.42,43.43,3.29,0,6.82,2,urban
13153,White,White,56.25,30.7,3.22,0.01,6.53,4,suburban
13155,White,White,66.78,28.29,0.41,0,3.83,6,rural
13157,White,White,81.35,6.63,1.78,0.06,7.66,5,rural
13159,White,White,74.21,20.39,0.29,0,3.92,2,urban
13161,White,White,70.85,16.41,0.23,0,12.12,6,rural
13163,Black,Non-White,42.01,53.11,0.31,0,3.84,6,rural
13165,White,White,54.67,34.91,1.11,0,8.17,6,rural
13167,White,White,62.4,33.15,0.22,0,2.47,5,rural
13169,White,White,71.43,24.56,0.75,0,1.67,4,suburban
13171,White,White,65.16,29.4,0.48,0,2.45,2,urban
13173,White,White,68.61,24.39,0.2,0,5.72,4,suburban
13175,White,White,57.22,37.22,1.13,0.02,2.71,5,rural
13177,White,White,71.64,20.7,2.45,0.12,2.98,4,suburban
13179,Black,Non-White,38.87,40.1,1.96,0.5,12.61,4,suburban
13181,White,White,66.18,30.97,0,0.03,1.82,3,suburban
13183,White,White,57.89,24.82,0.97,0.44,11.28,4,suburban
13185,White,White,53.78,36.36,1.74,0.07,5.66,4,suburban
13187,White,White,90.56,2.04,0.82,0.14,4.84,6,rural
13189,White,White,53.52,39.9,0.44,1.23,3.06,3,suburban
13191,White,White,62.1,35.42,1.33,0.13,0.28,4,suburban
13193,Black,Non-White,32.33,61.47,0.39,0.01,4.29,6,rural
13195,White,White,81.85,10.64,0.38,0,5.46,4,suburban
13197,White,White,59.23,30.46,0.91,0.62,7.28,3,suburban
13199,White,White,56.35,39.74,0.25,0,2.2,2,urban
13201,White,White,67.98,30.31,0,0.29,0.43,6,rural
13205,Black,Non-White,45.85,46.36,0.2,0.05,4.58,6,rural
13207,White,White,72.41,23.2,0.91,0,2.32,4,suburban
13209,White,White,65.33,25.75,0.18,0,6.59,5,rural
13211,White,White,71.95,22.79,0.07,0,3.21,2,urban
13213,White,White,82.54,1.04,0.34,0,15.04,4,suburban
13215,Black,Non-White,40.35,45.61,2.46,0.14,7.61,3,suburban
13217,White,Non-White,46.44,44.33,1.06,0.08,5.58,2,urban
13219,White,White,84.14,5.23,3.68,0.07,5.29,4,suburban
13221,White,White,75.64,17.57,0.21,0,4.57,4,suburban
13223,White,White,71,18.49,0.87,0.04,6.34,2,urban
13225,White,Non-White,45.77,44.66,1.01,0.1,7.71,4,suburban
13227,White,White,86.62,1.03,0.43,0.05,3.09,2,urban
13229,White,White,84.03,9.35,0,0,5.05,5,rural
13231,White,White,86.91,8.94,0.51,0,1.63,2,urban
13233,White,White,72.01,11.94,0.37,0.02,13.08,5,rural
13235,White,White,57.39,37.7,0.27,0,3.13,4,suburban
13237,White,White,65.69,26.2,0.5,0,6.35,6,rural
13239,Black,Non-White,37.05,51.9,7.34,0.17,0.74,6,rural
13241,White,White,87.7,1.9,1.13,0,8.01,6,rural
13243,Black,Non-White,34.65,62.4,0,0,1.41,6,rural
13245,Black,Non-White,34.53,55.58,1.78,0.21,4.92,3,suburban
13247,Black,Non-White,31.72,53.77,1.98,0.2,10.22,2,urban
13249,White,White,67.99,25.13,0,0,6.51,5,rural
13251,White,White,54.46,41.63,0.74,0,2.17,6,rural
13253,White,White,61.51,32.89,0.78,0,3.21,6,rural
13255,White,White,58.52,34.09,0.98,0,4.56,2,urban
13257,White,White,82.35,11.9,0.67,0.01,3.48,5,rural
13259,Black,Non-White,23.38,52.42,3.23,0,18.75,6,rural
13261,Black,Non-White,39.38,52.12,1.36,0,5.69,5,rural
13263,Black,Non-White,40.69,57.73,0.55,0,0.6,6,rural
13265,Black,Non-White,32.77,62.07,0.74,0,3.97,6,rural
13267,White,White,57.66,29.17,0.19,0.02,11.48,6,rural
13269,White,White,57.32,37.96,1.84,0,2.62,6,rural
13271,White,Non-White,48.94,38.5,0.02,0,11.41,6,rural
13273,Black,Non-White,35.61,58.11,3.1,0,2.82,4,suburban
13275,White,White,57.61,36.24,0.13,0.05,3.71,5,rural
13277,White,White,55.85,29.5,1.35,0,11.78,5,rural
13279,White,White,60.24,25.55,0.91,0,11.69,5,rural
13281,White,White,94.09,1.27,0.52,0,2.74,6,rural
13283,White,White,72.05,26.37,0,0,1.32,6,rural
13285,White,White,56.28,36.11,2.17,0,3.68,5,rural
13287,White,White,53.75,40.29,0.77,0,4.77,6,rural
13289,White,White,55.05,42.85,0.21,0,0.72,4,suburban
13291,White,White,93.86,0.74,0.31,0,3.31,6,rural
13293,White,White,67.21,27.14,0.45,0.76,2.31,5,rural
13295,White,White,90.88,4.11,0.76,0.01,2.22,3,suburban
13297,White,White,74.64,17.63,1.36,0.03,4.39,2,urban
13299,White,White,63.35,29.84,1.05,0.06,4.1,5,rural
13301,Black,Non-White,37.49,61.11,0.6,0,0.47,6,rural
13303,Black,Non-White,42.53,52.63,0.67,0,2.48,6,rural
13305,White,White,71.17,20.24,0.61,0,6.26,5,rural
13307,White,White,51.84,37.2,0,0,8.74,6,rural
13309,White,White,56.18,43.39,0,0,0.14,6,rural
13311,White,White,92.3,1.46,0.58,0,3.25,6,rural
13313,White,White,58.43,3.76,1.44,0,35.11,4,suburban
13315,White,White,58.51,35.48,0,0,4.66,6,rural
13317,White,White,50.93,42.59,0.39,0,5.06,6,rural
