GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat,poverty_estimate,population,pctpov,poverty_quantile
12129,White,White,79.63,14.95,0.52,0,3.73,3,suburban,3272,28375,11.531277533039647,2
12131,White,White,84.27,4.61,1.01,0,6.23,4,suburban,9361,63730,14.688529734818767,2
12133,White,White,77.41,14.97,0.67,0.42,3.69,6,rural,4901,21863,22.41686868224855,4
13001,White,White,69.12,19.28,0.4,0,9.92,6,rural,4191,17992,23.293686082703424,4
13003,White,White,56.52,17.41,0,0,24.88,6,rural,2462,8216,29.965920155793572,4
13005,White,White,73.51,15.19,0.17,0.23,8.26,6,rural,2865,10522,27.228663752138377,4
13007,White,White,50.64,39.62,3.07,0.67,5.49,4,suburban,680,3189,21.32329883976168,4
13009,White,White,52.38,42.11,1.75,0,2.26,5,rural,10838,41381,26.19076387714168,4
13011,White,White,87.8,2.6,1.12,0,6.89,6,rural,2478,18493,13.399664738008976,2
13013,White,White,71.34,11.7,3.66,0.01,10.9,2,urban,9269,76416,12.129658710217756,2
13015,White,White,77.48,10.32,0.89,0,8.63,2,urban,13490,102451,13.167270207221012,2
13017,White,White,55.84,36.61,0.69,0,6.11,5,rural,5304,16791,31.588350902269074,4
13019,White,White,81.82,10.6,1.11,0,5.07,6,rural,4935,18785,26.270960873036998,4
13021,Black,Non-White,38.32,54.29,2.02,0.05,3.25,4,suburban,37664,146835,25.65056015255218,4
13023,White,White,68.56,27.33,0.24,0,2.96,6,rural,2347,11282,20.803049104768657,4
13025,White,White,92.16,3.3,1.07,0,2.23,4,suburban,4440,18416,24.10947002606429,4
13027,White,White,56.47,35.84,0.42,0.05,5.9,4,suburban,4188,15509,27.003675285318202,4
13029,White,White,73.05,13.85,1.41,0,7.08,3,suburban,5020,35649,14.081741423321834,2
13031,White,White,63.48,27.76,1.27,0.26,3.99,5,rural,19079,66548,28.66953176654445,4
13033,Black,Non-White,47.27,48.06,0.32,0,3.23,3,suburban,5523,22244,24.829167415932385,4
13035,White,White,66.03,28.92,0.42,0,3.25,2,urban,4985,20946,23.79929342117827,4
13037,Black,Non-White,32.62,60.31,0.58,0,4.74,6,rural,1326,4468,29.677708146821846,4
13039,White,White,69.8,18.64,1.92,0.11,6.73,5,rural,6546,50749,12.89877633056809,2
13043,White,White,60.64,25.13,0.19,0,11.77,6,rural,3457,10541,32.795749928849254,4
13045,White,White,70.25,19.03,0.77,0.09,6.89,2,urban,21088,112174,18.79936527180987,3
13047,White,White,90.95,2.05,1.32,0.05,3.02,3,suburban,6425,65474,9.813055564040688,1
13049,White,White,61.14,25.88,0.74,0,8.37,6,rural,2866,11763,24.364532857264305,4
13051,White,Non-White,48.5,39.43,2.55,0.11,6.4,3,suburban,43183,274052,15.757228555164712,3
13053,White,White,57.58,19.88,2.89,0.14,15.86,3,suburban,1201,7162,16.769058922088803,3
13055,White,White,82.77,10.3,0.17,0,5.15,5,rural,4533,22803,19.878963294303382,4
13057,White,White,78.72,6.71,1.8,0.03,10.52,2,urban,19423,239920,8.095615205068356,1
13059,White,White,55.02,27.67,3.87,0.04,10.8,4,suburban,35653,113808,31.327323211022073,4
13061,Black,Non-White,35.41,62.39,1.02,0,0.37,6,rural,1211,2946,41.10658520027155,4
13063,Black,Non-White,10.07,68.33,5.12,0.06,13.22,2,urban,54635,272704,20.034542947664868,4
13065,White,White,65.12,28.42,0,0,4.19,6,rural,2605,6645,39.20240782543266,4
13067,White,White,51.91,26.72,5.28,0.04,12.98,2,urban,73439,733722,10.009104265648297,1
13069,White,White,58.13,28.43,0.79,0,11.7,5,rural,8703,39068,22.276543462680454,4
13071,White,White,55.88,23.16,0.83,0.01,19.21,5,rural,11318,44824,25.249866143137606,4
13073,White,White,68.67,16.59,3.76,0,6.7,3,suburban,12954,146520,8.841113841113842,1
13075,White,White,64.71,26.92,0.72,0,5.78,6,rural,4080,16985,24.021195172210774,4
13077,White,White,71,17.67,2.07,0.02,7.01,2,urban,15417,139431,11.057081997547174,1
13079,White,White,73.27,21.97,0.15,0,3.3,4,suburban,2398,12190,19.671862182116488,4
13081,White,Non-White,49.88,45.54,0.19,0.11,3.44,5,rural,6896,22355,30.847685081637216,4
13083,White,White,93.33,0.65,1.07,0.04,2.28,3,suburban,2235,14839,15.061661837051012,3
13085,White,White,92.1,1.05,0.59,0,4.7,2,urban,2045,23595,8.667090485272304,1
13087,White,White,50.21,42.05,0.25,0,6.08,5,rural,6449,25613,25.178620231913477,4
13089,Black,Non-White,29.13,53.44,6.04,0.04,8.53,2,urban,120880,728896,16.58398454649223,3
13091,White,White,64.74,28.74,0.33,0,3.53,6,rural,4447,18847,23.59526715127076,4
13093,Black,Non-White,42.59,49.08,0.01,0,6.94,6,rural,3086,12563,24.564196449892542,4
13095,Black,Non-White,25.23,69.39,0.96,0.01,2.86,4,suburban,25651,87104,29.44870499632623,4
13097,Black,Non-White,40.52,45.93,1.59,0.02,9.66,2,urban,18309,140208,13.058456008216366,2
13099,Black,Non-White,45.22,52.2,0.55,0,0.81,6,rural,2938,10185,28.846342660775647,4
13101,White,White,66.31,1.98,0,0,27.28,4,suburban,1070,3986,26.84395383843452,4
