geoid,white_percent19,diversity_index19
21099,0.9152650969085375,0.1910063429540374
21101,0.8656963931135307,0.282787096348041
21103,0.9143359939664383,0.21578904861971748
21105,0.8645232815964523,0.27280381908134954
21107,0.8849352540204275,0.24499957381066084
21109,0.9789064253122897,0.046451433539273834
21111,0.6744737881131428,0.5498353823934289
21113,0.8883692864685473,0.2614655776366033
21115,0.9723424935937086,0.06046205049986997
21117,0.8852403602385494,0.26324835990902484
21119,0.9684796854521626,0.08015166165771681
21121,0.9576598118922366,0.10465301964704343
21123,0.9137566882568291,0.2163947428234898
21125,0.9575691303411369,0.1110953915473164
21127,0.9802182375087741,0.06158245304189025
21129,0.9565470135154774,0.09285378971608493
21131,0.9753962851307985,0.05797611901665933
21133,0.9745682888540032,0.0653214085544318
21135,0.9776403070731162,0.0441677567695149
21137,0.9424742605000818,0.1401574418353181
21139,0.9535462912831619,0.1260468751251681
21141,0.8857334027209873,0.2546909621743917
21143,0.9012211340829404,0.21432060303336886
21145,0.8329962615676901,0.32973651821069205
21147,0.8943028914972803,0.2357311430865371
21149,0.9606808143918991,0.09267755477736872
21151,0.8946278716327835,0.23659056553972546
21153,0.9876711232087103,0.04505677673323916
21155,0.8778320515485346,0.26451784318910954
21157,0.9634842267248013,0.1016968927078814
21159,0.9228193681318682,0.17903801916184947
21161,0.8896096306685367,0.23442512873194532
21163,0.8944006812859272,0.2556388361881887
21165,0.9712866677013814,0.07772585424616296
21167,0.9082067432382364,0.22066319447639104
21169,0.9491829414109206,0.11339355247917271
21171,0.9334713465700574,0.18019305684299058
21173,0.9278439248314445,0.18448791104928852
21175,0.9266255267910897,0.16298641513330148
21177,0.9204549126037931,0.17642168171376815
21179,0.9036582694414019,0.21536852764448233
21181,0.957360548021809,0.10931623781018873
21183,0.9425865148934403,0.1709556970806082
21185,0.8830475843982597,0.2781626755769262
21187,0.9843460540941089,0.03835773672619203
21189,0.9342638451148132,0.12415593772432554
21191,0.9607466373867691,0.10156412567419293
21193,0.9518479567307693,0.11229265057836335
21195,0.9689732255407836,0.07883168909494598
21197,0.9574122236671001,0.11348432085163818
21199,0.9423154623154623,0.15503260746210834
21201,0.9392369288742346,0.1899243724012427
21203,0.9718192627824019,0.07277769082505303
21205,0.9451585261353899,0.13654797114505224
21207,0.9348070649116886,0.1896341410849277
21209,0.8696471362979494,0.3042637413608026
21211,0.8016904384574749,0.46505263090264415
21213,0.8516746411483254,0.2999423407458732
21215,0.9406852248394004,0.15592404892020562
21217,0.8953110945993509,0.23438182257322315
21219,0.8573400454693082,0.3150767578351197
21221,0.8815142916464808,0.25178036143703675
21223,0.9399392381397523,0.16906811360496243
21225,0.8240196748189643,0.3305023366095694
21227,0.7836877778814165,0.43966641454812316
21229,0.8769857772602512,0.2907870500699594
21231,0.9316168597293877,0.1876630798067962
21233,0.8836088154269972,0.29898944095396884
21235,0.9598959342392959,0.10191800421854236
21237,0.9815457194394339,0.04348338949123831
21239,0.8620715859867771,0.34813164224787885
22001,0.7737963719038699,0.4025580097945106
22003,0.7095792021235069,0.5247773909962565
22005,0.6841870136621343,0.5391010009592438
22007,0.6556188272978023,0.5113081500186488
22009,0.6503725196095306,0.5239387465471699
22011,0.8023648192640985,0.38841331456696726
22013,0.5430551459746388,0.5244275362199006
22015,0.6674123906117835,0.5646257620142814
22017,0.44855612188861455,0.5832296894290302
22019,0.6742271313715473,0.5196174574383099
22021,0.7918334667734187,0.3866472217139991
22023,0.8828282828282829,0.3059225512586293
22025,0.661171411017817,0.48297485007465235
22027,0.4516108852048796,0.5403002586132912
22029,0.569319445848923,0.5220919173670773
22031,0.5877459782329877,0.5558899125392078
22033,0.44634410710221445,0.6215843435649592
22035,0.2897406989853439,0.43664694173340346
22037,0.5335811264261009,0.5433651277679521
22039,0.6632230789841913,0.5234674045656652
22041,0.6512501235299931,0.46523433729558117
22043,0.7652193375111906,0.44763105709745343
22045,0.5875888547303407,0.5904187454582732
22047,0.4767533971116934,0.5646559583503319
22049,0.6729642924617419,0.47639729535588027
22051,0.5264642980338048,0.7379047714881607
22053,0.7813682770904233,0.3930866853504521
22055,0.656726163662888,0.5452593783065977
22057,0.768316549109145,0.44165318765090844
22059,0.8273299410819497,0.3412556409028845
22061,0.5329763366210896,0.5775702824326335
22063,0.8768858689393066,0.28316134875324284
22065,0.3384043870511233,0.503176735508801
22067,0.49328387348691916,0.5212262667823508
22069,0.5205189713430833,0.5808226828093532
22071,0.30668423543860096,0.6043288560028877
22073,0.5784274634391038,0.54655190974044
22075,0.6392150141400291,0.6112632902313209
22077,0.6032430959302325,0.5331438533221525
22079,0.6121859967931588,0.5551922615255328
22081,0.566958552247519,0.5476390916513284
22083,0.6057002457002457,0.5264487753962377
22085,0.6757950898253512,0.5501985351495544
22087,0.623438378074612,0.6388045777085839
22089,0.6512042142762398,0.5632742902880359
22091,0.44148781198407305,0.5455522523446512
22093,0.4817908766660409,0.5376951152207026
22095,0.34318486656491376,0.6164334973502914
22097,0.5436324724666955,0.552654993774019
22099,0.643229360530038,0.5307233415064678
22101,0.5607636163867524,0.6465963429714062
22103,0.7856283435558779,0.43519475297813093
22105,0.6322724278152616,0.5536338525632025
22107,0.4224950668713002,0.5345949362445331
22109,0.6666696414228854,0.5637429740170223
22111,0.6892139757526954,0.5116771991443788
22113,0.7831454105069741,0.4083604852601894
22115,0.7005599645490069,0.5744640963797778
22117,0.6554107892753311,0.502880696338551
22119,0.619540288466439,0.5197305688546544
22121,0.5585609746752997,0.5588285477076191
22123,0.7877003894574767,0.40144074376293093
22125,0.5236582836401348,0.5399095526031181
22127,0.6499685600503039,0.4988971397892279
23001,0.9060983996579989,0.20839930837349796
23003,0.9412467371587843,0.1351349917387571
23005,0.9028897700020868,0.21662818537633577
23007,0.9562404109132145,0.10899869055228018
23009,0.9472720279848355,0.12817325428281057
23011,0.9457508233883354,0.1328747015741566
23013,0.9515581377801252,0.12138434018235733
23015,0.9589778076664425,0.10285863458852595
23017,0.952719374456994,0.11696136365022847
23019,0.9362670813182759,0.14661091096281598
23021,0.9490971727251128,0.12490547597007373
23023,0.9455319869118809,0.13603736465271044
23025,0.9570269200316707,0.1038974291637228
23027,0.9517185563620729,0.12061930051757219
23029,0.8943825219904099,0.23440218158307358
23031,0.9423735781828149,0.1416652319964692
24001,0.8696899713065995,0.26398520959208227
